concept_id,kc
0,Changing axis bounds
1,Changing axis intervals
2,Choose Graphical Refl-v
3,Choose Graphical a
4,Choose Graphical h
5,Choose Graphical k
6,"Convert unit, mixed"
7,"Convert unit, multiplier"
8,"Convert unit, standard"
9,Correctly placing points
10,Define Variable
11,Edit Algebraic a
12,Edit Algebraic h
13,Edit Algebraic k
14,Edit Algebraic refl-v
15,Entering a computed linear value
16,Entering a computed quadratic value
17,Entering a given
18,Entering a given linear value
19,Entering a given quadratic value
20,Entering a point
21,"Entering slope, GLF"
22,"Entering slope, SIF"
23,Entering the slope
24,Entering the y-intercept
25,"Entering x-intercept, GLF"
26,"Entering x-intercept, SIF"
27,"Entering y-intercept, GLF"
28,"Entering y-intercept, SIF"
29,Excluding the line when shading
30,"Find X, Simple"
31,"Find X, negative slope"
32,"Find X, positive slope"
33,"Find Y, Simple"
34,"Find Y, any form"
35,"Find Y, negative slope"
36,"Find Y, positive slope"
37,Identify Parent Curve
38,Identify Parent Description
39,Identify Parent Equation
40,Identifying units
41,Including the line when shading
42,Labelling point of intersection
43,Labelling the axes
44,"Negative Constant, GLF"
45,"Negative Constant, SIF"
46,Placing coordinate point
47,"Positive Constants, GLF"
48,"Positive Constants, SIF"
49,Setting the slope
50,Setting the y-intercept
51,Shading GLF equation with negative slope
52,Shading GLF equation with positive slope
53,Shading SIF equation with negative slope
54,Shading SIF equation with positive slope
55,Shading greater than
56,Shading less than
57,Using difficult numbers
58,Using large numbers
59,Using simple numbers
60,Using small numbers
61,"Write expression, initial and change"
62,"Write expression, initial and point"
63,"Write expression, negative slope"
64,"Write expression, positive slope"
65,"Write expression, quadratic"
66,"Write expression, ratio"
67,"Write expression, two points"
68,"[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]]"
69,"[SkillRule: Apply Exponent; {Expand Exponents; eval radical; Expand Exponents, radical}]"
70,[SkillRule: Calculate Eliminate Parens; [Typein Skill: Eliminate Parens]]
71,[SkillRule: Calculate negative coefficient; [Typein Skill: Make variable positive]]
72,[SkillRule: Consolidate vars with coeff; CLT]
