item_id,item_key
0,"Unit CTA1_01, Section CTA1_01-1	LDEMO_WKST"
1,"Unit CTA1_01, Section CTA1_01-2	BH1T08"
2,"Unit CTA1_01, Section CTA1_01-2	BH1T08A"
3,"Unit CTA1_01, Section CTA1_01-2	BH1T08B"
4,"Unit CTA1_01, Section CTA1_01-2	BH1T08C"
5,"Unit CTA1_01, Section CTA1_01-2	BH1T15"
6,"Unit CTA1_01, Section CTA1_01-2	BH1T15A"
7,"Unit CTA1_01, Section CTA1_01-2	BH1T15B"
8,"Unit CTA1_01, Section CTA1_01-2	BH1T15C"
9,"Unit CTA1_01, Section CTA1_01-2	BH1T17"
10,"Unit CTA1_01, Section CTA1_01-2	BH1T17A"
11,"Unit CTA1_01, Section CTA1_01-2	BH1T17B"
12,"Unit CTA1_01, Section CTA1_01-2	BH1T17C"
13,"Unit CTA1_01, Section CTA1_01-2	BH1T22"
14,"Unit CTA1_01, Section CTA1_01-2	BH1T22A"
15,"Unit CTA1_01, Section CTA1_01-2	BH1T22B"
16,"Unit CTA1_01, Section CTA1_01-2	BH1T22C"
17,"Unit CTA1_01, Section CTA1_01-2	BH1T24"
18,"Unit CTA1_01, Section CTA1_01-2	BH1T24A"
19,"Unit CTA1_01, Section CTA1_01-2	BH1T24B"
20,"Unit CTA1_01, Section CTA1_01-2	BH1T24C"
21,"Unit CTA1_01, Section CTA1_01-2	BH1T26"
22,"Unit CTA1_01, Section CTA1_01-2	BH1T26A"
23,"Unit CTA1_01, Section CTA1_01-2	BH1T26B"
24,"Unit CTA1_01, Section CTA1_01-2	BH1T26C"
25,"Unit CTA1_01, Section CTA1_01-2	EMX04"
26,"Unit CTA1_01, Section CTA1_01-2	EMX04A"
27,"Unit CTA1_01, Section CTA1_01-2	EMX04B"
28,"Unit CTA1_01, Section CTA1_01-2	EMX04C"
29,"Unit CTA1_01, Section CTA1_01-2	RXMX1"
30,"Unit CTA1_01, Section CTA1_01-2	RXMX1A"
31,"Unit CTA1_01, Section CTA1_01-2	RXMX1B"
32,"Unit CTA1_01, Section CTA1_01-2	RXMX1C"
33,"Unit CTA1_01, Section CTA1_01-2	RXMX_2"
34,"Unit CTA1_01, Section CTA1_01-2	RXMX_2A"
35,"Unit CTA1_01, Section CTA1_01-2	RXMX_2B"
36,"Unit CTA1_01, Section CTA1_01-2	RXMX_2C"
37,"Unit CTA1_01, Section CTA1_01-2	RXMX_3"
38,"Unit CTA1_01, Section CTA1_01-2	RXMX_3A"
39,"Unit CTA1_01, Section CTA1_01-2	RXMX_3B"
40,"Unit CTA1_01, Section CTA1_01-2	RXMX_3C"
41,"Unit CTA1_01, Section CTA1_01-3	BH1T19"
42,"Unit CTA1_01, Section CTA1_01-3	BH1T19A"
43,"Unit CTA1_01, Section CTA1_01-3	BH1T19B"
44,"Unit CTA1_01, Section CTA1_01-3	BH1T19C"
45,"Unit CTA1_01, Section CTA1_01-3	BH1T27"
46,"Unit CTA1_01, Section CTA1_01-3	BH1T27A"
47,"Unit CTA1_01, Section CTA1_01-3	BH1T27B"
48,"Unit CTA1_01, Section CTA1_01-3	BH1T27C"
49,"Unit CTA1_01, Section CTA1_01-3	BH1T28"
50,"Unit CTA1_01, Section CTA1_01-3	BH1T28A"
51,"Unit CTA1_01, Section CTA1_01-3	BH1T28B"
52,"Unit CTA1_01, Section CTA1_01-3	BH1T28C"
53,"Unit CTA1_01, Section CTA1_01-3	BH1T30"
54,"Unit CTA1_01, Section CTA1_01-3	BH1T30A"
55,"Unit CTA1_01, Section CTA1_01-3	BH1T30B"
56,"Unit CTA1_01, Section CTA1_01-3	BH1T30C"
57,"Unit CTA1_01, Section CTA1_01-3	BH1T33"
58,"Unit CTA1_01, Section CTA1_01-3	BH1T33A"
59,"Unit CTA1_01, Section CTA1_01-3	BH1T33B"
60,"Unit CTA1_01, Section CTA1_01-3	BH1T33C"
61,"Unit CTA1_01, Section CTA1_01-3	BH1T34"
62,"Unit CTA1_01, Section CTA1_01-3	BH1T34A"
63,"Unit CTA1_01, Section CTA1_01-3	BH1T34B"
64,"Unit CTA1_01, Section CTA1_01-3	BH1T34C"
65,"Unit CTA1_01, Section CTA1_01-3	DEC03"
66,"Unit CTA1_01, Section CTA1_01-3	DEC03A"
67,"Unit CTA1_01, Section CTA1_01-3	DEC03B"
68,"Unit CTA1_01, Section CTA1_01-3	DEC03C"
69,"Unit CTA1_01, Section CTA1_01-3	JAN11"
70,"Unit CTA1_01, Section CTA1_01-3	JAN11A"
71,"Unit CTA1_01, Section CTA1_01-3	JAN11B"
72,"Unit CTA1_01, Section CTA1_01-3	JAN11C"
73,"Unit CTA1_01, Section CTA1_01-3	L3NOV07"
74,"Unit CTA1_01, Section CTA1_01-3	L3NOV07A"
75,"Unit CTA1_01, Section CTA1_01-3	L3NOV07B"
76,"Unit CTA1_01, Section CTA1_01-3	L3NOV07C"
77,"Unit CTA1_01, Section CTA1_01-3	L5FB03"
78,"Unit CTA1_01, Section CTA1_01-3	L5FB03A"
79,"Unit CTA1_01, Section CTA1_01-3	L5FB03B"
80,"Unit CTA1_01, Section CTA1_01-3	L5FB03C"
81,"Unit CTA1_01, Section CTA1_01-3	REAL20"
82,"Unit CTA1_01, Section CTA1_01-3	REAL20A"
83,"Unit CTA1_01, Section CTA1_01-3	REAL20B"
84,"Unit CTA1_01, Section CTA1_01-3	REAL20C"
85,"Unit CTA1_01, Section CTA1_01-4	JAN04"
86,"Unit CTA1_01, Section CTA1_01-4	JAN04A"
87,"Unit CTA1_01, Section CTA1_01-4	JAN04B"
88,"Unit CTA1_01, Section CTA1_01-4	JAN04C"
89,"Unit CTA1_01, Section CTA1_01-4	JAN13"
90,"Unit CTA1_01, Section CTA1_01-4	JAN13A"
91,"Unit CTA1_01, Section CTA1_01-4	JAN13B"
92,"Unit CTA1_01, Section CTA1_01-4	JAN13C"
93,"Unit CTA1_01, Section CTA1_01-4	L1FB12"
94,"Unit CTA1_01, Section CTA1_01-4	L1FB12A"
95,"Unit CTA1_01, Section CTA1_01-4	L1FB12B"
96,"Unit CTA1_01, Section CTA1_01-4	L1FB12C"
97,"Unit CTA1_01, Section CTA1_01-4	REAL32"
98,"Unit CTA1_01, Section CTA1_01-4	REAL32A"
99,"Unit CTA1_01, Section CTA1_01-4	REAL32B"
100,"Unit CTA1_01, Section CTA1_01-4	REAL32C"
101,"Unit CTA1_02, Section CTA1_02-1	LDEMO_GRPH"
102,"Unit CTA1_02, Section CTA1_02-2	BH1T21"
103,"Unit CTA1_02, Section CTA1_02-2	BH1T21A"
104,"Unit CTA1_02, Section CTA1_02-2	BH1T21B"
105,"Unit CTA1_02, Section CTA1_02-2	BH1T21C"
106,"Unit CTA1_02, Section CTA1_02-2	BH1T23"
107,"Unit CTA1_02, Section CTA1_02-2	BH1T23A"
108,"Unit CTA1_02, Section CTA1_02-2	BH1T23B"
109,"Unit CTA1_02, Section CTA1_02-2	BH1T23C"
110,"Unit CTA1_02, Section CTA1_02-2	BH1T35"
111,"Unit CTA1_02, Section CTA1_02-2	BH1T35A"
112,"Unit CTA1_02, Section CTA1_02-2	BH1T35B"
113,"Unit CTA1_02, Section CTA1_02-2	BH1T35C"
114,"Unit CTA1_02, Section CTA1_02-2	NEWS01"
115,"Unit CTA1_02, Section CTA1_02-2	NEWS01A"
116,"Unit CTA1_02, Section CTA1_02-2	NEWS01B"
117,"Unit CTA1_02, Section CTA1_02-2	NEWS01C"
118,"Unit CTA1_02, Section CTA1_02-2	NOV04"
119,"Unit CTA1_02, Section CTA1_02-2	NOV04A"
120,"Unit CTA1_02, Section CTA1_02-2	NOV04B"
121,"Unit CTA1_02, Section CTA1_02-2	NOV04C"
122,"Unit CTA1_02, Section CTA1_02-2	REAL17"
123,"Unit CTA1_02, Section CTA1_02-2	REAL17A"
124,"Unit CTA1_02, Section CTA1_02-2	REAL17B"
125,"Unit CTA1_02, Section CTA1_02-2	REAL17C"
126,"Unit CTA1_02, Section CTA1_02-3	BH1T39"
127,"Unit CTA1_02, Section CTA1_02-3	BH1T39A"
128,"Unit CTA1_02, Section CTA1_02-3	BH1T39B"
129,"Unit CTA1_02, Section CTA1_02-3	BH1T39C"
130,"Unit CTA1_02, Section CTA1_02-3	L3NOV10"
131,"Unit CTA1_02, Section CTA1_02-3	L3NOV10A"
132,"Unit CTA1_02, Section CTA1_02-3	L3NOV10B"
133,"Unit CTA1_02, Section CTA1_02-3	L3NOV10C"
134,"Unit CTA1_02, Section CTA1_02-3	L3NOV12"
135,"Unit CTA1_02, Section CTA1_02-3	L3NOV12A"
136,"Unit CTA1_02, Section CTA1_02-3	L3NOV12B"
137,"Unit CTA1_02, Section CTA1_02-3	L3NOV12C"
138,"Unit CTA1_02, Section CTA1_02-4	BH1T29"
139,"Unit CTA1_02, Section CTA1_02-4	BH1T29A"
140,"Unit CTA1_02, Section CTA1_02-4	BH1T29B"
141,"Unit CTA1_02, Section CTA1_02-4	BH1T29C"
142,"Unit CTA1_02, Section CTA1_02-4	L2FB14"
143,"Unit CTA1_02, Section CTA1_02-4	L2FB14A"
144,"Unit CTA1_02, Section CTA1_02-4	L2FB14B"
145,"Unit CTA1_02, Section CTA1_02-4	L2FB14C"
146,"Unit CTA1_02, Section CTA1_02-4	REAL19"
147,"Unit CTA1_02, Section CTA1_02-4	REAL19A"
148,"Unit CTA1_02, Section CTA1_02-4	REAL19B"
149,"Unit CTA1_02, Section CTA1_02-4	REAL19C"
150,"Unit CTA1_02, Section CTA1_02-4	REAL28"
151,"Unit CTA1_04, Section CTA1_04-1	LDEMO_WSLVR"
152,"Unit CTA1_04, Section CTA1_04-2	BH1T02"
153,"Unit CTA1_04, Section CTA1_04-2	BH1T02A"
154,"Unit CTA1_04, Section CTA1_04-2	BH1T02B"
155,"Unit CTA1_04, Section CTA1_04-2	BH1T02C"
156,"Unit CTA1_04, Section CTA1_04-2	BH1T10"
157,"Unit CTA1_04, Section CTA1_04-2	BH1T10A"
158,"Unit CTA1_04, Section CTA1_04-2	BH1T10B"
159,"Unit CTA1_04, Section CTA1_04-2	BH1T10C"
160,"Unit CTA1_04, Section CTA1_04-2	BH1T31"
161,"Unit CTA1_04, Section CTA1_04-2	BH1T31A"
162,"Unit CTA1_04, Section CTA1_04-2	BH1T31B"
163,"Unit CTA1_04, Section CTA1_04-2	BH1T31C"
164,"Unit CTA1_04, Section CTA1_04-2	BH1T32"
165,"Unit CTA1_04, Section CTA1_04-2	BH1T32A"
166,"Unit CTA1_04, Section CTA1_04-2	BH1T32B"
167,"Unit CTA1_04, Section CTA1_04-2	BH1T32C"
168,"Unit CTA1_04, Section CTA1_04-2	BH1T36"
169,"Unit CTA1_04, Section CTA1_04-2	BH1T36A"
170,"Unit CTA1_04, Section CTA1_04-2	BH1T36B"
171,"Unit CTA1_04, Section CTA1_04-2	BH1T36C"
172,"Unit CTA1_04, Section CTA1_04-2	EMX03"
173,"Unit CTA1_04, Section CTA1_04-2	EMX03A"
174,"Unit CTA1_04, Section CTA1_04-2	EMX03B"
175,"Unit CTA1_04, Section CTA1_04-2	EMX03C"
176,"Unit CTA1_04, Section CTA1_04-2	PERCENT01"
177,"Unit CTA1_04, Section CTA1_04-2	PERCENT01A"
178,"Unit CTA1_04, Section CTA1_04-2	PERCENT01B"
179,"Unit CTA1_04, Section CTA1_04-2	PERCENT01C"
180,"Unit CTA1_04, Section CTA1_04-2	PERCENT03"
181,"Unit CTA1_04, Section CTA1_04-2	PERCENT03A"
182,"Unit CTA1_04, Section CTA1_04-2	PERCENT03B"
183,"Unit CTA1_04, Section CTA1_04-2	PERCENT03C"
184,"Unit CTA1_04, Section CTA1_04-2	PERCENT04"
185,"Unit CTA1_04, Section CTA1_04-2	PERCENT04A"
186,"Unit CTA1_04, Section CTA1_04-2	PERCENT04B"
187,"Unit CTA1_04, Section CTA1_04-2	PERCENT04C"
188,"Unit CTA1_04, Section CTA1_04-2	PERCENT05"
189,"Unit CTA1_04, Section CTA1_04-2	PERCENT05A"
190,"Unit CTA1_04, Section CTA1_04-2	PERCENT05B"
191,"Unit CTA1_04, Section CTA1_04-2	PERCENT05C"
192,"Unit CTA1_04, Section CTA1_04-2	REAL13"
193,"Unit CTA1_04, Section CTA1_04-2	REAL13A"
194,"Unit CTA1_04, Section CTA1_04-2	REAL13B"
195,"Unit CTA1_04, Section CTA1_04-2	REAL13C"
196,"Unit CTA1_04, Section CTA1_04-3	BH1T41"
197,"Unit CTA1_04, Section CTA1_04-3	BH1T41A"
198,"Unit CTA1_04, Section CTA1_04-3	BH1T41B"
199,"Unit CTA1_04, Section CTA1_04-3	BH1T41C"
200,"Unit CTA1_04, Section CTA1_04-3	DEC01"
201,"Unit CTA1_04, Section CTA1_04-3	DEC01A"
202,"Unit CTA1_04, Section CTA1_04-3	DEC01B"
203,"Unit CTA1_04, Section CTA1_04-3	DEC01C"
204,"Unit CTA1_04, Section CTA1_04-3	L2FB15"
205,"Unit CTA1_04, Section CTA1_04-3	L2FB15A"
206,"Unit CTA1_04, Section CTA1_04-3	L2FB15B"
207,"Unit CTA1_04, Section CTA1_04-3	L2FB15C"
208,"Unit CTA1_04, Section CTA1_04-3	PERCENT14"
209,"Unit CTA1_04, Section CTA1_04-3	PERCENT14A"
210,"Unit CTA1_04, Section CTA1_04-3	PERCENT14B"
211,"Unit CTA1_04, Section CTA1_04-3	PERCENT14C"
212,"Unit CTA1_04, Section CTA1_04-4	BH1T47"
213,"Unit CTA1_04, Section CTA1_04-4	BH1T47A"
214,"Unit CTA1_04, Section CTA1_04-4	BH1T47B"
215,"Unit CTA1_04, Section CTA1_04-4	BH1T47C"
216,"Unit CTA1_04, Section CTA1_04-4	L5FB04"
217,"Unit CTA1_04, Section CTA1_04-4	L5FB04A"
218,"Unit CTA1_04, Section CTA1_04-4	L5FB04B"
219,"Unit CTA1_04, Section CTA1_04-4	L5FB04C"
220,"Unit CTA1_06, Section CTA1_06-1	LDEMO_4QGRPH"
221,"Unit CTA1_06, Section CTA1_06-2	BH1T20"
222,"Unit CTA1_06, Section CTA1_06-2	DEC02"
223,"Unit CTA1_06, Section CTA1_06-2	FEB01"
224,"Unit CTA1_06, Section CTA1_06-2	FEB05"
225,"Unit CTA1_06, Section CTA1_06-2	FEB11"
226,"Unit CTA1_06, Section CTA1_06-2	JAN03"
227,"Unit CTA1_06, Section CTA1_06-2	L5FB16"
228,"Unit CTA1_06, Section CTA1_06-2	L6FB06"
229,"Unit CTA1_06, Section CTA1_06-2	L6FB08"
230,"Unit CTA1_06, Section CTA1_06-3	BH1T40"
231,"Unit CTA1_06, Section CTA1_06-3	BH1T42"
232,"Unit CTA1_06, Section CTA1_06-3	BH1T43"
233,"Unit CTA1_06, Section CTA1_06-3	BH1T44"
234,"Unit CTA1_06, Section CTA1_06-3	FEB04"
235,"Unit CTA1_06, Section CTA1_06-3	FEB13"
236,"Unit CTA1_06, Section CTA1_06-3	FOR05"
237,"Unit CTA1_06, Section CTA1_06-3	JAN05"
238,"Unit CTA1_06, Section CTA1_06-3	JAN06"
239,"Unit CTA1_06, Section CTA1_06-4	BH1T48"
240,"Unit CTA1_06, Section CTA1_06-4	BH1T51"
241,"Unit CTA1_06, Section CTA1_06-4	BH1T52"
242,"Unit CTA1_06, Section CTA1_06-4	JAN09"
243,"Unit CTA1_06, Section CTA1_06-4	L6FB07"
244,"Unit CTA1_06, Section CTA1_06-4	L6FB18"
245,"Unit CTA1_06, Section CTA1_06-4	L6FB19"
246,"Unit CTA1_06, Section CTA1_06-5	FBSMR1"
247,"Unit CTA1_06, Section CTA1_06-5	FBSMR2"
248,"Unit CTA1_06, Section CTA1_06-5	FBSMR3"
249,"Unit CTA1_08, Section CTA1_08-1	LDEMO_MBGRPH"
250,"Unit CTA1_08, Section CTA1_08-2	BH1T04"
251,"Unit CTA1_08, Section CTA1_08-2	DEMO_8"
252,"Unit CTA1_08, Section CTA1_08-2	FEB02"
253,"Unit CTA1_08, Section CTA1_08-2	FEB03"
254,"Unit CTA1_08, Section CTA1_08-2	FEB09"
255,"Unit CTA1_08, Section CTA1_08-2	JAN01"
256,"Unit CTA1_08, Section CTA1_08-2	L1FB13"
257,"Unit CTA1_08, Section CTA1_08-2	L3_DEMO"
