user_id,item_id,score
474,311,0
443,284,0
487,546,0
318,656,1
11,530,1
223,494,1
8,921,0
346,479,1
522,718,1
426,453,0
414,49,0
26,660,1
16,615,0
155,572,1
283,229,1
489,719,0
526,501,1
36,475,0
313,780,0
412,547,0
177,791,0
1,360,0
511,294,0
539,214,0
212,547,1
276,481,0
362,262,0
563,536,0
60,527,0
343,279,0
194,755,0
313,934,1
448,392,0
330,250,0
309,732,0
249,575,1
452,202,0
241,671,0
526,444,1
50,751,0
247,821,1
7,658,0
1,353,0
389,951,0
32,383,0
395,569,1
509,568,1
432,323,0
186,822,1
398,709,0
443,558,0
159,749,0
329,238,0
236,500,1
535,559,0
198,911,0
409,259,0
166,159,0
154,564,0
460,482,1
533,654,1
214,51,0
7,267,0
260,852,0
468,505,1
267,15,0
384,709,0
230,1010,0
96,225,0
412,117,0
124,523,1
230,934,0
30,237,0
101,283,0
236,523,1
149,276,0
466,874,0
513,656,0
510,789,0
306,779,1
332,328,0
388,650,0
154,264,0
157,515,1
19,46,0
347,480,1
212,895,0
36,667,0
81,60,0
341,1098,0
49,868,1
113,36,0
363,773,0
510,104,0
289,637,0
251,262,0
214,639,1
310,770,0
224,549,1
108,227,0
380,281,0
313,1130,0
515,224,0
309,168,0
491,639,0
335,770,1
443,53,1
214,255,0
436,916,0
468,234,0
554,573,0
537,1170,1
19,645,0
251,859,1
176,293,0
363,281,0
517,672,0
276,646,0
137,547,0
467,107,0
223,711,1
266,697,0
13,1017,1
412,240,0
18,843,0
378,294,0
378,289,0
9,74,1
541,533,1
50,652,1
412,255,0
249,649,0
329,639,0
470,668,0
559,785,0
379,568,0
564,838,1
503,533,0
36,295,0
101,253,0
526,229,0
92,267,0
323,260,0
554,505,1
82,27,0
427,657,0
141,479,1
486,640,0
64,280,0
436,638,0
391,880,0
84,675,0
154,333,0
467,82,0
392,611,1
556,332,0
419,476,1
81,235,0
158,985,0
209,551,0
331,256,0
201,482,1
425,512,1
300,310,0
273,515,1
511,270,0
101,245,0
273,223,0
147,18,0
526,720,1
8,327,0
8,283,0
507,713,0
515,916,1
413,636,0
398,658,1
270,292,1
32,787,1
147,549,0
119,1034,0
120,851,0
162,979,1
249,779,1
66,641,1
71,841,0
341,1040,1
262,522,1
526,313,1
243,937,0
503,608,0
59,580,1
180,758,0
262,262,0
32,103,0
113,677,1
343,298,0
562,298,0
486,233,0
300,575,1
163,907,1
373,566,0
346,481,1
104,434,0
51,293,0
313,1089,1
92,643,1
276,319,0
138,914,1
555,522,0
555,921,0
387,610,1
36,135,0
36,830,0
328,293,0
273,768,0
183,243,0
59,182,0
397,335,0
379,537,0
4,699,0
361,636,1
509,562,1
114,562,1
247,475,1
444,639,1
222,771,1
222,769,0
291,312,0
223,771,1
478,728,1
314,135,0
572,632,0
294,9,0
473,650,0
205,93,1
17,707,0
92,249,0
556,846,0
397,636,1
164,780,0
137,750,0
328,251,0
392,935,0
357,535,1
292,715,1
436,232,0
126,712,0
261,663,1
106,897,0
398,609,1
242,530,1
526,860,0
227,530,1
439,820,1
309,286,0
229,260,0
32,782,0
21,667,0
171,650,1
212,494,0
124,326,0
320,257,0
346,510,1
361,868,0
223,661,1
251,249,0
227,495,0
313,420,0
397,1033,0
386,820,1
101,521,1
309,719,0
475,132,0
339,328,0
48,159,0
332,804,0
292,639,0
99,707,1
515,656,0
512,504,1
453,853,0
267,512,1
100,276,0
463,910,0
356,31,0
104,450,0
181,709,0
125,777,1
417,1167,0
526,1106,1
169,723,0
49,501,0
366,922,0
132,254,0
119,1004,0
261,234,0
46,546,0
121,655,1
395,284,0
132,574,0
165,659,1
156,243,0
223,50,0
137,8,0
155,635,0
388,711,0
74,39,0
568,176,0
222,722,1
224,69,0
1,319,0
378,342,0
336,776,1
251,946,1
467,1041,0
138,778,0
107,241,0
79,550,1
54,270,0
13,823,0
483,504,1
162,914,0
362,1038,0
362,366,0
95,108,0
353,192,0
492,823,1
521,282,1
432,708,0
448,389,0
124,321,0
417,608,1
387,129,0
32,497,0
143,195,0
352,237,0
568,312,0
56,41,0
267,640,0
315,860,0
177,935,0
9,55,1
206,905,0
120,951,0
77,535,1
272,236,0
303,373,0
564,198,0
46,310,0
331,652,0
356,81,0
36,280,0
491,532,1
101,189,0
446,850,0
476,828,1
68,828,0
320,319,0
431,131,1
283,256,0
467,1143,0
21,648,1
8,559,0
132,39,0
427,238,0
194,849,0
151,862,0
556,790,1
374,815,1
357,645,0
373,239,0
564,535,1
201,571,0
247,258,0
119,827,1
4,300,0
341,1016,1
251,793,1
162,787,1
297,690,0
418,894,1
113,578,1
562,834,0
475,150,0
84,244,0
436,820,0
50,649,1
0,573,1
328,221,0
78,913,0
233,904,1
341,381,0
313,326,0
500,161,0
568,987,1
457,820,1
59,208,0
201,341,0
92,292,0
214,527,1
8,708,1
132,559,1
559,250,0
564,867,0
48,265,0
123,786,1
18,32,0
511,332,0
138,60,0
260,753,0
503,666,0
205,522,1
185,651,1
43,826,0
13,955,0
138,658,1
132,121,0
309,663,0
72,258,0
119,965,0
295,273,0
436,480,1
92,787,0
389,903,1
521,562,1
461,650,0
503,60,0
390,338,1
169,514,0
521,225,0
236,158,0
328,261,1
343,259,0
510,176,0
159,523,1
56,475,1
46,472,0
23,524,0
201,650,0
124,284,0
320,648,1
395,225,0
48,267,0
187,631,0
386,114,0
379,275,0
473,59,0
93,709,0
503,564,0
391,872,0
249,858,0
166,262,0
51,375,0
526,929,0
276,242,0
521,339,1
169,268,1
105,822,1
224,224,0
132,302,0
4,609,0
312,461,0
55,546,0
209,536,1
93,13,0
568,647,1
511,227,0
17,650,1
379,561,0
178,271,1
249,110,0
29,847,1
565,575,1
304,563,0
397,529,1
15,950,0
444,675,0
124,287,0
36,283,0
341,355,0
526,276,0
397,255,0
7,645,0
467,469,0
303,1114,0
526,1148,0
101,511,1
379,358,0
439,877,0
187,228,0
397,83,0
476,917,0
397,252,0
386,500,1
357,926,0
555,32,0
155,773,0
82,473,1
398,234,0
303,392,1
541,614,0
236,676,1
41,251,0
313,440,0
467,640,0
49,577,0
81,656,0
48,6,0
149,769,1
412,546,0
432,354,0
503,771,0
222,685,0
48,636,0
523,664,0
56,817,1
557,897,0
1,855,0
219,105,0
37,285,0
339,866,0
243,241,0
448,997,0
111,312,0
180,779,0
9,110,0
521,40,0
331,250,0
116,241,0
417,1031,0
341,445,0
565,781,1
64,778,0
446,816,0
541,577,1
478,196,0
356,119,0
110,670,0
191,352,0
198,461,0
565,262,0
272,523,0
526,355,0
282,749,0
379,670,1
276,743,0
446,710,1
295,821,0
526,530,1
379,108,0
356,851,0
489,734,0
541,550,1
110,866,0
315,750,0
489,709,0
559,669,0
417,648,0
375,269,0
174,268,0
421,187,0
220,224,0
27,730,0
207,713,0
166,635,0
443,502,0
110,632,0
339,12,0
477,520,1
247,770,0
171,709,0
25,221,0
10,123,0
162,363,0
9,920,0
467,770,0
339,566,0
256,415,0
169,729,0
132,623,0
150,825,0
227,839,0
291,634,0
308,844,0
178,660,1
475,689,0
214,651,1
44,501,1
559,552,0
114,271,0
114,253,0
219,505,1
263,279,0
560,717,1
15,302,0
392,841,0
417,419,1
436,578,1
547,668,0
424,255,1
278,826,0
132,501,0
93,227,0
113,637,1
125,582,0
4,642,0
297,285,0
128,643,0
224,309,0
313,903,0
417,761,0
270,961,1
528,548,0
461,730,1
93,190,0
156,847,0
158,1174,0
526,315,0
9,116,0
491,276,0
329,270,1
178,773,1
336,258,0
356,834,0
398,547,0
563,651,0
18,332,0
313,271,0
93,632,0
515,157,0
18,668,0
343,713,1
500,571,1
184,264,0
177,856,1
245,665,1
539,228,0
132,49,0
56,560,0
295,850,0
110,641,0
447,777,1
395,840,0
427,634,0
119,358,0
225,257,0
93,480,0
165,200,1
491,263,1
46,656,0
104,1178,0
326,55,0
274,709,1
92,710,1
249,335,0
194,839,1
361,271,0
444,660,0
346,632,0
201,242,1
361,251,0
251,566,0
361,640,0
292,626,0
483,232,0
209,239,0
138,959,0
508,292,0
219,474,1
126,276,0
276,357,0
243,315,0
201,193,0
467,233,0
81,717,0
227,301,0
468,310,0
223,480,1
60,523,1
156,577,1
156,645,0
254,826,0
475,35,0
227,777,1
309,288,0
145,914,0
341,435,0
513,664,0
135,789,1
555,503,1
329,237,0
9,281,0
365,562,0
292,836,0
198,1165,0
136,789,0
251,280,1
266,686,0
4,76,0
124,634,1
36,293,0
356,514,1
46,669,0
109,328,0
518,773,0
295,847,0
251,897,1
177,332,0
155,983,0
547,664,0
344,276,0
68,840,1
23,70,0
266,675,0
511,257,0
535,171,0
54,835,0
343,887,1
554,576,1
257,655,1
468,675,0
132,953,0
190,435,0
357,251,0
357,501,1
138,230,0
198,1105,1
125,258,0
108,631,1
370,643,1
32,265,1
523,257,0
392,220,0
461,709,1
113,667,0
356,312,0
99,260,1
483,520,0
361,476,1
425,294,0
303,1111,0
568,515,1
95,798,1
401,523,1
512,521,1
110,847,0
293,563,0
436,777,0
573,319,0
297,1022,0
169,9,0
362,819,0
180,644,0
9,236,0
114,118,0
236,659,0
512,118,0
9,826,0
475,300,0
495,481,0
526,1039,0
456,840,1
50,660,0
432,272,0
35,291,0
446,779,0
411,674,0
362,314,0
125,642,1
15,983,1
432,846,1
433,763,0
431,233,0
511,495,1
120,321,0
363,387,0
9,301,0
457,283,0
522,101,0
362,856,0
56,224,0
246,825,0
164,777,1
274,717,1
29,780,0
521,1035,0
159,259,0
177,277,0
104,1171,0
312,442,0
273,250,1
373,915,1
417,753,1
361,921,0
247,974,1
124,776,1
249,635,0
489,272,0
231,780,0
467,851,0
433,197,0
379,709,1
28,31,0
508,672,1
240,223,0
443,303,0
253,23,0
0,317,0
128,658,0
180,682,0
526,295,0
64,504,1
339,253,0
341,1166,1
357,280,0
449,931,0
249,822,0
266,638,0
32,703,1
198,434,0
345,233,0
212,893,1
166,614,0
398,496,1
170,902,0
121,668,0
496,333,0
267,309,1
137,546,1
417,1133,0
36,931,0
448,971,0
106,423,1
138,220,0
165,111,0
502,920,0
313,515,1
442,124,0
147,479,0
559,859,0
51,321,0
207,656,1
386,311,0
467,471,0
101,355,0
518,778,1
315,851,0
77,564,0
267,293,0
347,921,0
104,923,0
467,609,0
351,578,0
507,866,0
387,274,0
254,824,1
247,523,0
564,134,0
95,708,0
524,562,1
356,537,1
59,739,0
95,347,0
511,73,0
49,816,0
535,639,1
400,269,0
350,634,0
29,753,1
251,537,1
432,779,1
230,356,0
156,231,0
186,332,0
94,643,0
341,368,0
235,35,0
340,76,0
514,868,0
244,252,0
308,206,0
214,313,0
173,910,0
477,522,1
56,843,0
1,354,0
515,522,1
157,582,1
336,670,0
173,354,0
526,1187,0
54,734,0
55,28,0
470,713,0
206,910,1
524,14,0
247,345,0
559,141,0
166,134,0
271,657,0
353,31,0
240,242,0
118,820,1
251,639,1
101,267,0
165,230,0
565,821,0
81,647,0
387,503,1
357,257,0
455,330,0
209,839,0
482,821,0
0,206,0
569,645,0
439,19,0
189,267,0
380,242,0
425,769,1
56,258,0
157,312,0
169,220,0
249,171,0
209,615,0
60,533,1
4,123,0
431,562,0
500,635,0
427,640,0
116,256,0
189,259,0
374,716,0
168,523,1
147,546,0
177,1032,0
188,642,1
452,570,0
309,715,0
164,232,0
539,241,1
518,857,1
279,892,0
110,318,0
511,243,0
197,897,1
297,1016,0
55,502,1
435,256,0
108,319,0
108,317,0
51,820,1
6,735,1
335,250,1
535,654,1
313,960,0
336,780,1
183,624,0
270,968,0
298,237,0
521,736,0
467,370,0
535,513,1
475,4,0
327,428,0
486,646,0
515,748,1
56,766,0
77,163,0
4,683,0
16,565,0
435,504,1
389,918,0
491,515,0
287,503,1
491,561,0
474,312,0
511,253,0
532,136,0
49,712,0
387,642,1
432,800,1
72,768,0
313,1154,0
297,935,0
455,328,0
66,248,0
77,865,0
187,224,0
303,462,0
564,572,1
373,916,0
236,234,0
107,712,0
171,292,0
156,297,0
43,775,1
346,156,0
467,288,0
95,824,0
461,660,1
36,559,0
224,724,0
571,734,0
524,660,0
201,272,0
392,861,0
509,565,0
273,55,0
249,513,0
378,337,0
243,920,0
192,270,0
165,135,0
565,225,0
346,118,0
154,316,1
353,732,1
251,827,0
320,313,0
443,654,1
277,257,0
137,709,0
84,331,0
395,834,0
205,311,0
273,315,0
445,682,0
168,547,0
163,250,0
282,256,0
159,819,0
363,844,0
43,190,0
186,294,0
156,682,0
51,965,0
13,777,0
29,228,0
311,229,0
166,42,0
18,307,0
230,956,0
475,546,0
195,615,1
241,240,0
201,661,0
99,37,0
37,292,0
