user_id,item_id,score
1367,54,1
1617,482,1
3814,274,1
4233,814,0
4198,501,1
299,197,0
559,248,0
2223,378,0
264,749,0
4129,578,1
3944,154,0
2798,460,1
624,333,0
3291,274,0
3172,281,1
4170,592,1
4119,818,0
3880,298,1
445,533,1
1687,717,0
3390,84,1
1224,157,0
2644,310,1
3120,186,0
2060,423,0
3565,199,1
2439,735,1
4825,762,1
1595,503,1
1660,209,0
1642,852,1
3916,571,1
459,84,1
2297,236,1
4028,434,0
2752,449,1
1077,805,0
83,727,1
2171,645,0
3256,655,1
3698,213,0
2409,389,1
374,391,0
333,650,1
4822,365,1
4734,687,1
2008,846,1
2688,764,1
2225,745,1
3011,143,0
2212,753,1
645,332,0
78,781,0
3127,560,1
1177,794,0
3559,469,0
245,555,1
1512,417,0
4077,923,0
616,846,1
1061,904,0
142,256,1
279,855,1
1861,251,0
4203,150,1
3986,458,0
395,469,0
1030,753,1
1388,586,0
3174,617,0
1472,445,1
4462,405,1
1463,772,1
3641,409,1
2525,593,1
2731,626,0
3116,473,1
366,201,1
902,199,1
3877,844,0
4680,838,1
1951,265,0
3880,811,1
4886,94,0
186,394,1
297,696,0
2053,764,1
2228,825,1
377,484,0
2949,325,1
987,30,0
293,825,1
2854,282,0
4691,304,1
4349,420,1
2671,177,1
3757,300,1
2040,605,0
279,623,0
812,533,1
3209,923,1
1698,216,1
3011,10,0
1386,64,1
619,852,1
3384,197,1
4493,831,1
1861,83,0
915,820,0
2989,753,1
49,367,0
4410,162,0
1642,793,0
1565,782,0
1914,710,1
1387,338,0
3933,667,0
86,938,0
114,190,1
322,53,1
2077,908,1
1445,234,1
54,20,1
3413,844,1
1397,436,1
605,267,0
1582,650,1
1846,76,1
282,72,0
663,156,0
3059,605,0
231,520,1
4100,675,1
2254,147,0
184,920,1
3549,190,0
1547,732,0
1918,145,0
728,717,0
3532,802,1
1431,638,0
896,924,1
3892,230,0
3863,292,0
3517,840,0
940,804,0
1828,314,0
4573,90,1
4324,167,0
3307,200,1
351,50,0
1355,416,0
1930,152,1
294,896,1
3258,945,0
280,662,0
4162,525,0
489,268,0
3547,462,1
4825,761,0
836,169,1
2275,881,1
192,448,1
489,769,1
4475,687,0
633,738,0
155,770,0
3697,30,0
4603,292,0
2458,903,0
78,653,1
1657,617,1
1961,135,0
836,199,1
2786,554,0
3071,924,1
476,612,1
4367,154,1
82,587,0
303,819,0
459,491,0
4545,380,0
1557,275,0
647,828,1
4524,871,1
1518,367,1
4691,250,1
3041,933,1
4110,185,1
1331,658,1
4052,758,1
2639,440,1
3809,727,1
628,758,0
406,25,1
3645,816,1
332,103,0
916,350,1
3133,655,0
2268,696,1
249,178,1
500,406,0
1670,605,0
2344,101,0
4739,346,0
1015,769,0
1063,25,1
4248,662,1
2054,610,0
1685,867,1
3578,391,0
2426,560,1
4346,129,1
4677,559,0
2439,721,1
3641,37,1
1224,523,0
3969,933,0
1521,629,1
4277,206,0
2716,924,1
890,389,1
1407,602,0
4365,64,0
4707,355,0
1244,599,0
2097,391,1
3750,554,0
3967,904,0
2674,259,1
2680,753,0
2274,622,1
4344,146,0
1510,642,0
2383,222,0
4164,655,0
1379,911,1
583,571,1
1787,695,0
4680,349,0
269,588,1
1177,616,1
3671,938,0
1832,480,0
2936,125,1
839,647,0
3106,12,0
469,344,1
282,885,0
4760,534,1
2327,74,0
1188,668,1
4363,250,1
2683,533,1
2083,262,0
4342,421,1
1262,264,1
4676,341,1
4729,202,1
4277,535,0
2148,506,0
4188,46,0
4250,480,1
3486,513,1
208,281,1
2228,346,0
874,118,0
4798,534,0
164,815,1
518,574,0
3738,647,0
3932,767,1
2779,405,1
3580,295,1
349,465,0
1726,252,1
2594,848,1
708,837,0
3639,290,0
3241,727,1
3838,149,1
853,691,1
1110,311,0
4712,361,0
931,661,0
710,74,0
3677,278,1
1444,359,1
1404,749,0
2420,54,0
23,592,0
4286,484,1
3375,788,1
1862,612,1
3738,619,0
624,493,0
1730,230,0
3714,369,1
3909,585,1
2920,919,1
4417,386,0
1887,233,0
3874,894,1
2427,86,1
972,908,0
1274,933,0
695,586,1
4589,497,0
4666,908,1
310,452,1
1595,636,1
4708,805,1
4601,686,0
2328,879,0
2010,209,0
4912,889,0
3483,604,0
4286,870,0
103,587,1
4490,534,1
730,177,1
4310,609,0
3876,142,0
1669,201,0
4475,85,1
654,803,0
1823,392,0
3929,493,1
1114,463,1
2306,289,1
2083,622,1
4910,691,0
797,826,0
1029,673,0
557,833,0
3660,642,1
4315,159,1
2937,509,0
2513,3,1
480,120,0
1904,86,1
826,469,1
1092,178,1
155,676,1
1830,423,0
2537,767,0
212,264,0
718,939,1
4823,852,0
1854,165,1
1422,221,0
174,467,0
1235,922,1
3653,778,1
4603,44,0
1660,494,0
2798,250,1
956,206,1
1114,87,0
4506,484,1
4681,488,1
4118,609,0
3581,627,1
227,406,1
1863,282,0
131,701,0
1432,740,1
929,17,0
3132,405,1
417,673,1
241,610,0
2691,582,1
2667,668,0
73,629,1
2767,157,0
1960,80,0
4231,638,0
3810,284,0
2836,563,1
1991,290,1
492,566,1
3016,252,1
1501,206,1
1065,255,0
3722,520,0
340,495,1
1363,312,0
4872,9,1
4410,696,1
501,196,0
3341,25,1
3488,768,1
2051,376,1
1640,780,1
1747,423,0
4390,580,0
1482,853,1
3758,431,1
1174,694,0
3835,829,0
3400,44,1
1336,92,1
4626,120,0
2769,178,0
1665,748,0
3180,609,1
479,278,1
4714,679,0
4180,758,0
1330,301,0
2622,503,1
4626,178,1
2588,279,0
1463,190,1
19,845,1
3034,684,1
2363,461,1
2980,776,1
1386,87,0
1105,789,0
131,333,1
4406,152,0
4300,423,0
4542,830,0
4388,924,1
4155,520,1
2423,642,0
32,941,0
1065,871,0
3572,539,1
4133,30,1
453,53,1
1538,707,1
2144,939,1
2400,3,1
664,506,1
2260,642,1
580,190,1
2750,826,1
3341,483,0
2486,361,1
4626,326,0
1300,709,0
2294,476,0
1314,116,1
4394,641,0
230,316,0
3084,534,0
4543,939,1
4429,216,1
2655,424,0
3504,138,1
1767,360,0
2148,297,1
3941,837,0
3477,687,1
2520,241,1
4325,346,0
27,614,0
168,831,0
1754,655,0
2580,171,0
4503,291,1
2269,850,0
156,213,0
2253,327,1
3343,758,1
4680,605,1
4518,240,0
4481,290,1
446,596,1
4135,825,1
3792,645,1
362,85,0
1011,194,0
1358,230,0
2726,844,0
2675,435,0
1430,475,1
3066,217,0
3669,44,0
3316,18,0
3174,227,0
750,836,1
4407,868,0
222,610,1
2899,90,1
4735,788,1
4002,177,1
922,291,1
1872,592,1
3192,190,0
164,464,1
2305,833,1
3373,863,1
2545,781,1
3078,184,0
3604,379,1
3838,415,0
2262,896,1
3553,92,0
3123,718,1
429,535,0
2462,388,1
1258,417,1
2328,193,1
1030,255,0
2444,478,0
1631,534,0
3965,712,1
1111,152,1
3556,716,1
564,766,0
3078,373,0
4449,290,1
2474,934,1
2691,274,0
8,496,0
4233,237,1
446,344,1
3337,574,0
1683,829,1
169,333,1
950,746,1
129,517,1
