user_id,item_id,score
2188,365,1
399,239,1
564,1096,1
3212,1326,1
3045,1215,1
1588,3478,1
1426,3278,1
528,1246,1
1415,1956,1
1051,3029,0
462,1143,0
3291,3784,1
308,268,1
1941,3071,1
2895,1102,1
3352,2280,0
1794,3984,1
691,276,1
712,2426,1
1854,309,1
2000,874,1
945,1140,0
3133,1011,1
1683,2226,0
779,2394,0
2019,660,1
50,2437,1
1830,523,1
1491,791,1
2946,2119,1
868,4078,1
1975,3580,1
1638,2073,1
2690,182,1
1147,2240,1
2292,2573,1
2341,520,1
3319,383,0
738,1342,1
3111,3475,0
2064,1205,1
2516,869,1
2040,2336,1
1041,1009,1
1372,674,1
1171,546,1
871,571,1
1260,2030,0
2785,152,0
1238,580,1
2714,675,1
1274,1167,1
2684,2331,1
1274,1014,1
1159,398,0
1505,601,1
1455,2157,1
779,1114,1
2622,811,1
1964,437,1
1974,1101,0
1312,569,1
1891,1020,1
312,1487,1
1352,4017,1
900,5518,1
3126,2111,1
376,1102,0
1837,337,1
405,1404,1
34,2847,1
1800,1387,1
452,2718,1
912,1360,0
1366,6576,1
1447,3771,0
3199,435,1
1516,2111,1
1161,271,1
853,589,0
2371,4771,1
2232,3760,1
1628,3159,1
359,3216,1
149,352,1
52,317,1
1138,2123,1
2932,554,1
1937,2608,1
114,1239,1
1765,65,1
413,400,1
3052,1229,1
684,573,1
72,2575,1
2821,1474,1
1440,1926,0
1005,387,1
1536,1493,1
656,3807,0
1582,3210,1
2398,1459,1
2485,78,0
2774,3620,1
2146,583,1
3184,1065,1
902,450,1
1395,4039,1
481,1129,1
548,327,0
575,1956,1
1829,1284,1
1166,3446,1
1192,3210,1
2237,1269,1
642,971,1
2862,2412,0
1415,1099,1
2203,1176,1
2223,449,1
1683,2371,0
1121,629,0
1194,1329,1
266,278,1
3029,34,1
3072,1293,1
1134,1440,1
3259,1116,0
1720,1325,1
482,3189,1
2262,1344,1
1125,1991,1
586,1342,1
1801,334,1
1158,1179,1
1889,601,1
1502,1152,1
2200,332,1
2296,1116,1
891,1110,1
737,1241,1
1095,153,1
482,757,1
2735,299,1
194,4111,1
3112,5730,0
2485,91,1
2291,632,1
1418,522,1
278,2183,1
1360,1138,1
1397,782,1
1830,1453,1
1169,3991,0
849,5279,0
12,2340,1
750,3707,1
2437,1170,0
1832,360,1
939,344,0
3096,1236,1
3336,2271,1
2466,3204,0
5,16,1
2659,316,1
714,2376,1
2851,2074,1
829,2759,1
1011,4073,1
1624,4281,1
2024,1167,1
935,60,1
2381,680,1
2492,2269,1
2827,1187,1
2481,2331,1
307,268,1
1183,2684,1
3034,3083,1
3053,2046,1
1080,4041,1
465,431,1
1851,2152,1
1881,2044,1
64,754,1
1945,1757,1
215,3979,0
1826,2333,1
2004,2182,0
930,3938,1
1455,2150,1
3301,2328,1
3364,270,1
2219,1216,1
928,1888,1
1933,2400,1
1556,954,1
1691,4309,0
2228,2020,1
1187,1124,1
148,3354,1
1176,3624,1
1657,998,1
1006,1070,0
376,348,1
3042,333,1
2513,293,0
1081,6,1
2676,300,1
1792,4922,1
780,337,0
60,1347,1
1920,336,0
984,1475,1
747,445,1
2531,547,1
1921,1317,1
277,4325,1
2331,413,1
3400,429,1
1496,2055,0
1049,3222,1
3011,4861,1
2455,440,1
3112,1009,1
2125,358,1
1940,1334,0
331,2205,1
1357,4087,1
244,1000,1
3131,264,1
1030,654,1
410,365,0
1597,393,0
484,4578,1
31,1233,1
1430,2376,1
1221,350,1
922,1008,0
469,1270,1
779,269,1
2375,811,1
2706,1072,1
1844,1224,0
1740,5,0
2521,118,1
2466,147,1
1336,4136,1
78,634,1
385,3289,1
617,270,1
1666,607,1
1804,4113,0
1796,4033,0
2954,1258,1
96,605,1
2836,1247,1
1048,1932,0
2556,385,0
1166,1146,1
390,569,1
2977,2196,1
1414,4237,1
2125,1008,0
2298,4807,1
1193,2616,1
1784,1464,1
617,375,0
2577,263,1
2850,3,1
822,585,0
2951,454,1
1985,678,1
2663,2409,1
2712,1150,1
2894,4032,1
2032,474,1
1958,326,1
1737,5824,1
1446,3991,0
885,1095,0
2475,479,1
7,1196,1
3144,312,1
2034,1857,1
748,1063,1
410,1285,1
1185,1235,1
2206,4480,1
1745,1969,1
592,1988,1
2451,968,1
345,2219,0
990,2691,1
2410,3224,0
848,3370,1
1806,1149,1
1552,2596,0
1866,1094,1
2891,60,0
1178,1346,1
1063,3177,1
556,367,1
1405,1304,1
864,1300,1
652,365,1
757,2230,1
2694,1100,1
1379,555,1
673,2244,1
2921,903,1
633,1179,1
2001,2369,1
2024,2428,1
1059,647,1
1070,627,0
2995,271,1
2428,1249,0
1662,277,1
140,408,1
515,345,1
2974,1458,0
1455,629,1
2008,1149,0
2408,1113,1
739,3567,1
1465,1198,1
2299,6726,0
1452,2300,1
867,126,1
2374,5490,1
652,1950,1
350,1325,1
1970,878,1
406,5048,1
170,1198,1
2961,1578,0
2216,1736,1
2049,2237,1
2180,49,1
1151,2026,1
2299,6771,1
1847,311,1
2834,622,1
418,290,0
1207,1022,1
592,464,1
279,2760,1
2733,2308,1
3189,1020,1
555,2419,0
1094,3919,1
1358,601,1
2726,1334,1
1056,3493,1
2231,152,1
3311,2223,1
2682,1116,1
1657,1157,1
913,1145,1
1557,441,1
203,66,1
1025,4626,1
2120,4395,1
2744,195,1
1502,809,1
1351,3759,1
404,1020,1
1090,548,1
420,2753,1
2880,583,1
2549,431,1
1210,1262,1
3051,1975,1
175,419,0
2967,1522,1
3355,559,1
2006,790,0
887,2214,1
3035,1240,1
318,1133,1
2955,321,1
2714,3751,1
232,335,1
3322,136,0
3052,1331,1
1533,2227,1
3144,987,1
3395,2951,1
2738,1383,0
