Method,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
Base,0.7597770719115167,-,0.427477846644629,-,0.7370490409648797,-,0.8183319873724396,-,
Ours-Ablated,0.716470729424479,0.7629117305160837,0.491806402909895,0.430609787196968,0.6514000318792837,0.7267165597529104,0.7069804832298692,0.7964969702330931,0.0
Ours (Dynamic DNA),0.7597770719115167,0.7527256121175666,0.4274778466525306,0.43366180775661517,0.7370490409648797,0.7240437158469946,0.8183319873724396,0.7964066608238387,0.0
Ours (LoRA),0.7597770719115167,0.7486101705716157,0.4274778466525306,0.43537331832994774,0.7370490409648797,0.7241031123782371,0.8183319873724396,0.7953113294848632,0.0
Full Replay Oracle,0.763574539502568,0.7627615807623244,0.4298458417278872,0.4357707302850196,0.7367036820572764,0.7281420765027322,0.8170085485866214,0.8001397318894371,0.0809226036071777
Naive FT (NFT),0.6954880015220202,0.765322839977261,0.5021128022594596,0.4337359476330972,0.6796397640933001,0.7313494891898313,0.7697917263234255,0.800792776921383,0.0854071974754333
EWC (lambda=10000),0.7022538623102459,0.669028893592023,0.5208123862774154,0.5332862909229253,0.6752829286435365,0.6508671893561416,0.7536430514965232,0.7293987662277875,0.0883343443274498
DER++ (mem=5000),0.708248125977766,0.6994087461457126,0.4509235616407973,0.4575863380839155,0.6921258169066469,0.6805654549774293,0.7766664739550211,0.7678895123003885,0.03755151852965355
C-LoRA (lambda=10000),0.6998798114462315,0.6673970765364545,0.5200987122066904,0.5339146589317147,0.6769300249721056,0.6424922784509385,0.7554643984637349,0.7186988830209843,0.13197359442710876
C-LoRA-GNCDM (lambda=10),0.7272245721825805,0.751603445092595,0.4561699362593519,0.4373152560832185,0.7032570001593964,0.722855785222143,0.7817165637457985,0.7903675083116183,0.1418345868587494
X-DER (mem=5000),0.7525429864681388,0.7051155660209284,0.4277450772857278,0.45014863090093415,0.7346580946814728,0.6969588976003801,0.8191104027818024,0.7857742693987235,0.0536382831633091
ICD,0.6028792068283719,0.6675220103733986,0.49158654690562936,0.47282666850146515,0.543976824655991,0.6500 ,0.5920380102224462,0.7509739286784537,4.224229335784912
