Method,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
Base,0.8199215113149307,-,0.3868453652707876,-,0.7860255769093377,-,0.8571837299127366,-,
Ours-Ablated,0.8192295677012336,0.8059169610266204,0.4902457348511727,0.41277022309732225,0.6327070086447096,0.747733666770866,0.6688993366394024,0.807214524605829,0.0
Ours (Dynamic DNA),0.8199215113149307,0.7930810764577925,0.3868453652707876,0.41792689096063484,0.7860255769093377,0.7444513910597061,0.8571837299127366,0.8092404620231012,0.0
Ours (LoRA),0.8199215113149307,0.7838795746613839,0.3868453652707876,0.4229873785969871,0.7860255769093377,0.7335104720225071,0.8571837299127366,0.8066235681070659,0.0
Full Replay Oracle,0.8195985073895109,0.8162084073687949,0.3873272069385208,0.40771037452172854,0.7850253625776952,0.7602375742419506,0.8573460389702745,0.8176414645744176,0.0372305624186992
Naive FT (NFT),0.8013296611002557,0.813338691179945,0.4563028007141785,0.40854368330178653,0.7520897335143245,0.7535167239762426,0.8479404031551271,0.8123735871505057,0.0927034020423889
EWC (lambda=1000),0.755212926858292,0.7712889132732913,0.4413111769114583,0.4366776566462175,0.7215117525183968,0.723976242575805,0.7995474647742467,0.7878933461446073,0.08921714872121811
DER++ (mem=5000),0.8048993589195574,0.7978226664031205,0.3969273275239696,0.4164363770237033,0.7655211831106665,0.7417943107221007,0.8367651447329155,0.8049126121870571,0.023044347763061523
C-LoRA (lambda=10),0.7347130117328979,0.7804623046285224,0.4351760815507259,0.43015258414742824,0.721297420875902,0.7331978743357299,0.8072342738548204,0.8004675628287551,0.19654712080955505
X-DER (mem=5000),0.8044781887044588,0.7896060209540132,0.39622997617435246,0.4230306620765317,0.7744516682146174,0.7336667708658956,0.8526900284634408,0.7952415284787311,0.053659893572330475
ICD,0.7658823793173026,0.7456504177190697,0.4339297779994291,0.48038696048357654,0.7270129313424305,0.6256642700844014,0.7993909802068567,0.7697336794538987,1.4327566623687744
