Method,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
Base,0.8072208524306842,-,0.4186336080154157,-,0.7292908907439685,-,0.7255139056831923,-,
Ours-Ablated,0.7381333229204383,0.8480196232100747,0.46269825246756,0.39112064114961054,0.6607650674250068,0.7573715248525695,0.7186120833967433,0.6458435809149041,0.0
Ours (Dynamic DNA),0.8072208524306842,0.7203508744193352,0.4186336080154157,0.44087348885246724,0.7292908907439685,0.7548441449031171,0.7255139056831923,0.6038660495507759,0.0
Ours (LoRA),0.8072208524306842,0.6711735857077503,0.4186336080154157,0.47173496576283924,0.7292908907439685,0.6955349620893008,0.7255139056831923,0.5565644171779142,0.0
Full Replay Oracle,0.810830577127941,0.8315798270107979,0.4213712725014623,0.4001986666504797,0.7191083386845244,0.7501263689974726,0.7058032282859339,0.6631841925959573,0.0809945538640022
Naive FT (NFT),0.7648161633823788,0.8502957308802563,0.4596135171391281,0.3868628823143279,0.656912209889001,0.7553496208930076,0.5862831858407079,0.6855781723689909,0.0694346725940704
EWC (lambda=1000),0.768710636806,0.8161703020397387,0.5045536376997312,0.42581879179962656,0.6844326208604715,0.7351305812973884,0.6465269214960954,0.6120434353405726,0.10408749431371689
DER++ (mem=5000),0.7966970161984752,0.8404590309402583,0.4244219663371664,0.39064634480331806,0.7192000733877626,0.7553496208930076,0.7299514777238642,0.6713444997736533,0.008089572191238403
C-LoRA (lambda=10000),0.768886016327284,0.7905324711728581,0.4953896535209982,0.45869703970692766,0.6981010916429685,0.7155855096882898,0.6863025450386046,0.5924674070497344,0.10881669819355011
X-DER (mem=5000),0.8045130095261084,0.8475267593220663,0.4238235435405916,0.38914047397724216,0.7250710943950096,0.754675652906487,0.7358307624504187,0.6530028598665396,0.07701979577541351
ICD,0.7870086964576887,0.7258350517067921,0.4681360403283011,0.47211845778073164,0.6896614989450509,0.7128896377422073,0.6358057917967489,0.5197294250281849,0.953941285610199
