Method,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
Base,0.7809619589550401,-,0.4335912409873606,-,0.7157667726246504,-,0.7178583772814949,-,
Ours-Ablated,0.780529297723725,0.769535627654939,0.4384277702695126,0.4372367376049434,0.7156095204933224,0.7131558133403638,0.7304912448773219,0.7092941998602376,0.0
Ours (Dynamic DNA),0.7809619594629069,0.7684052288229573,0.4335912409889936,0.43761108398790627,0.7157667726246504,0.7125879656857774,0.7178583772814949,0.7107755102040816,0.0
Ours (LoRA),0.7809619594629069,0.7581436753338744,0.4335912409889936,0.443100176576394,0.7157667726246504,0.7010687704070251,0.7178583772814949,0.6930829134218964,0.0
Full Replay Oracle,0.7834252727710609,0.7826439993474297,0.4326859116464503,0.433827152107467,0.7180918577092857,0.7134194568942789,0.7263926741524038,0.7128604230589478,0.0369230061769485
Naive FT (NFT),0.7509200243015544,0.7864524195696754,0.661005764922915,0.4327819909809821,0.5459344707904166,0.7199294246486443,0.6971569839307787,0.7288328620797989,0.0453988872468471
EWC (lambda=10000),0.7601314596884527,0.757345359626135,0.4517441223862219,0.4469577862497827,0.6991542081793573,0.6955930965949421,0.7083750707721789,0.7025012883022159,0.0232622884213924
DER++ (mem=5000),0.7669701664360368,0.7719681479599949,0.4413738902206668,0.43904176932169026,0.7020633726089252,0.7056723924638504,0.7096682391830212,0.7139224537265183,0.0615705400705337
C-LoRA (lambda=10000),0.7494104452162198,0.7522537052984167,0.4625981981665086,0.45601628108823067,0.6911118848914398,0.6941734774584761,0.7033825179049098,0.7004251261472446,0.3967632055282593
X-DER (mem=5000),0.781236666969545,0.7809375709102323,0.4333696496044323,0.43480419651368063,0.7159914185265476,0.7149607576710134,0.7222557861089447,0.7229941465145154,0.0338804721832275
X-DER (mem=5000),0.781556072860231,0.7805720720553281,0.43371743172067273,0.4361403328217701,0.7174853137741635,0.7171104666490904,0.7277568515391609,0.7304697312233107,0.03833642601966858
