Method,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
Base,0.7867987460308095,-,0.3625115660307562,-,0.817644383810823,-,0.8915648396964626,-,
Ours-Ablated,0.6377310358416974,0.7387127985867257,0.4523457788813336,0.3819844256666624,0.7028905184174625,0.797341071669591,0.8107330056217918,0.8834420121099208,0.0
Ours (Dynamic DNA),0.7867987460308095,0.7224018653541856,0.3625115660307562,0.3860602325921084,0.817644383810823,0.7960925900931299,0.8915648396964626,0.8810409653733341,0.0
Ours (LoRA),0.7867987460308095,0.736687912521134,0.3625115660307562,0.38349609687898734,0.817644383810823,0.7982858685382642,0.8915648396964626,0.8811814278899666,0.0
Full Replay Oracle,0.7856988662620848,0.7646436535418564,0.3631483881965636,0.3731891527550221,0.817644383810823,0.8088473478202186,0.8916161291957364,0.8880810794792263,0.0554688051342964
Naive FT (NFT),0.6380946167590856,0.7820801666070576,0.460233289266582,0.36995405951965954,0.671825261482492,0.8084761776218113,0.7801190192811236,0.8864163931801808,0.1070060655474662
EWC (lambda=10000),0.7530126238990822,0.7461391738822951,0.3918076308796295,0.39174509266671736,0.80407131906195,0.7874154262516915,0.883694278250611,0.8738507246958687,0.0187922120094299
DER++ (mem=5000),0.7821483251341705,0.7829674767177458,0.3681559791068536,0.3710658084972979,0.8084861734143433,0.8052435723951286,0.8845650332417794,0.884497321589792,0.045216042548418
C-LoRA (lambda=10000),0.740824284921155,0.7348416039866021,0.393406457226966,0.40017620889043376,0.8005933791380387,0.7799391069012178,0.8819371485724371,0.8671500051056877,0.3259133696556091
X-DER (mem=5000),0.7772318969400382,0.742640994670482,0.36560569255785896,0.38149746268723383,0.8138663335415366,0.7967185385656292,0.8917169047815674,0.8814488922208851,0.04975496232509613
