alpha,valid_AUC,valid_ACC,test_AUC,test_ACC,test_RMSE,test_F1
0.05,0.7278952082172119,0.6557823129251701,0.7074336161964049,0.627520759193357,0.49070468431860065,0.5787658106554235
0.1,0.7278465587946804,0.6557823129251701,0.7077469449867394,0.6331130316895441,0.48063477220861717,0.5909692046098621
0.15,0.7217639909947602,0.6476190476190476,0.7020698463054367,0.6317573292662261,0.4988438900445504,0.5605662285136501
0.2,0.7281560617875465,0.6581632653061225,0.7070385594703109,0.6322657176749703,0.48256521295878785,0.5820493066255779
0.25,0.7158065217099208,0.6517006802721088,0.6967376164910859,0.626165056770039,0.5007896463602266,0.5600319106501795
0.3,0.7266766560147597,0.6585034013605442,0.7039654739759835,0.6354855109303508,0.48399559142489973,0.5995159188233103
0.35,0.723624715574626,0.6625850340136055,0.6978609727235893,0.6312489408574817,0.4859873614282661,0.5986720767244559
0.4,0.71777612833069,0.6520408163265307,0.6907087423567113,0.6285375360108456,0.4932490754296603,0.5708692247454973
0.45,0.7142242571580675,0.6554421768707483,0.6876357719721526,0.622606337908829,0.4907220939225878,0.5776597762184714
0.5,0.7206038180993458,0.6530612244897959,0.692967541347429,0.6280291476021014,0.48912383879482957,0.5661197865190749
0.55,0.7080823833954425,0.6510204081632653,0.6787129231435096,0.6200643958651076,0.4985376731589481,0.5633034670821971
0.6,0.7298930778358327,0.648639455782313,0.7006043838404302,0.6327741060837146,0.48641015871506754,0.557122419783364
0.65,0.7279941287096923,0.6479591836734694,0.6978922825806689,0.6295543128283342,0.48725281846058466,0.5514977431267952
0.7,0.7273375931694357,0.6496598639455783,0.6976965959739208,0.6287069988137604,0.48131210551943904,0.5701392976260545
0.75,0.7244202494649721,0.6496598639455783,0.6942286264181523,0.6251482799525504,0.48311982747611804,0.566953797963978
0.8,0.719223796146873,0.6506802721088435,0.6863069448025637,0.6229452635146585,0.488353642349543,0.5655145479398554
0.85,0.7186267982332384,0.6479591836734694,0.6855739257956387,0.6249788171496357,0.4909166510406886,0.5564241330928041
0.9,0.7157092228648578,0.6479591836734694,0.6812943748158243,0.6236231147263176,0.49404557876703425,0.5514037568168046
0.95,0.7110004220916564,0.6448979591836734,0.6759829798696037,0.6214200982884257,0.4953410436840211,0.5597162002364998
