method,hparam,AUC_old,AUC_new,ACC_old,ACC_new,TMD_embed
EWC,0,0.628,0.680,0.619,0.659,0.113
EWC,1,0.631,0.683,0.620,0.655,0.113
EWC,10,0.640,0.684,0.627,0.660,0.117
EWC,100,0.660,0.682,0.638,0.658,0.123
EWC,1000,0.687,0.670,0.663,0.651,0.115
EWC,10000,0.702,0.669,0.675,0.651,0.088
C-LoRA,0,0.595,0.703,0.594,0.676,0.143
C-LoRA,1,0.648,0.676,0.638,0.655,0.145
C-LoRA,10,0.647,0.679,0.638,0.658,0.144
C-LoRA,100,0.672,0.666,0.659,0.652,0.135
C-LoRA,1000,0.699,0.668,0.667,0.643,0.133
C-LoRA,10000,0.700,0.667,0.677,0.642,0.132
DER++,5000,0.7126,0.6792,0.6988,0.6750,0.0241
