Model,epoch,ACC_new
EWC,1,0.754338210275604
EWC,2,0.743109901326982
EWC,3,0.7499149370534195
EWC,4,0.7444709084722695
EWC,5,0.7454916638312351
EWC,6,0.7475331745491663
EWC,7,0.7400476352500851
EWC,8,0.7356243620279006
EWC,9,0.7414086423953726
EWC,10,0.7322218441646818
EWC,11,0.7363048656005444
EWC,12,0.73732562095951
EWC,13,0.7322218441646818
EWC,14,0.7369853691731881
EWC,15,0.7271180673698537
DER++,1,0.7502551888397414
DER++,2,0.7468526709765226
DER++,3,0.7359646138142225
DER++,4,0.7451514120449132
DER++,5,0.7475331745491663
DER++,6,0.7356243620279006
