Model,epoch,ACC_new,AUC_new,ACC_old,AUC_old
CLEAN-Full,1,0.6437563797209935,0.6595577142547419,0.736448256981201,0.8097393778869981
CLEAN-Full,2,0.7400476352500851,0.6840378046711815,0.736448256981201,0.8097393778869981
CLEAN-Full,3,0.7444709084722695,0.6869275574412388,0.736448256981201,0.8097393778869981
CLEAN-Full,4,0.7441306566859476,0.6939471774472814,0.736448256981201,0.8097393778869981
CLEAN-Full,5,0.743109901326982,0.7012997865055872,0.736448256981201,0.8097393778869981
CLEAN-Full,6,0.7424293977543382,0.7036713611347826,0.736448256981201,0.8097393778869981
CLEAN-Full,7,0.7420891459680163,0.7059914943504781,0.736448256981201,0.8097393778869981
CLEAN-Full,8,0.7420891459680163,0.706769890763531,0.736448256981201,0.8097393778869981
CLEAN-Full,9,0.7437904048996257,0.7088697041692137,0.736448256981201,0.8097393778869981
CLEAN-Full,10,0.7444709084722695,0.7095115926361992,0.736448256981201,0.8097393778869981
CLEAN-Full,11,0.7441306566859476,0.7104039129601246,0.736448256981201,0.8097393778869981
CLEAN-Full,12,0.74276964954066,0.710718081983059,0.736448256981201,0.8097393778869981
CLEAN-Full,13,0.7308608370193943,0.7100305235782347,0.736448256981201,0.8097393778869981
CLEAN-Full,14,0.7274583191561755,0.7087060953809124,0.736448256981201,0.8097393778869981
CLEAN-Full,15,0.7155495066349098,0.7086097368307471,0.736448256981201,0.8097393778869981
Full-Replay,1,0.751275944198707,0.8362205767661468,0.7302427450264647,0.822449035642985
Full-Replay,2,0.7529772031303165,0.835331267646914,0.7388209527286002,0.8249746214821054
Full-Replay,3,0.7526369513439946,0.8339129902366706,0.7318853805438948,0.8240760072945073
Full-Replay,4,0.7465124191902007,0.8308799543099874,0.7307902901989414,0.823127662677833
Full-Replay,5,0.7369853691731881,0.8200343478081943,0.7300602299689725,0.8198966513688934
Full-Replay,6,0.7352841102415788,0.816238222425646,0.7242197481292206,0.8138631370594624
Full-Replay,7,0.7298400816604287,0.8109555656598203,0.7205694469793757,0.8101471540728687
Full-Replay,8,0.726097312010888,0.8074229206878796,0.7227596276692827,0.8094796597212056
Full-Replay,9,0.7192922762844505,0.806434743681238,0.7189268114619456,0.80603866067555
Full-Replay,10,0.7209935352160599,0.8050751847625011,0.7165541157145464,0.8025491977935155
Full-Replay,11,0.7182715209254849,0.800925744696014,0.7150939952546085,0.802001163132073
Full-Replay,12,0.7182715209254849,0.7993574089185861,0.7129038145647016,0.7990757339771357
Full-Replay,13,0.7203130316434161,0.7976289774249985,0.7077933929549188,0.7968200657081627
Full-Replay,14,0.7135079959169786,0.7885446747346878,0.7092535134148568,0.7952219590375922
Full-Replay,15,0.7172507655665192,0.7869181223332019,0.7114436941047636,0.7938472393212236
X-DER,1,0.7312010888057162,0.8118338336951798,0.7428362839934295,0.8181389540184186
X-DER,2,0.7339231030962913,0.8386395778692515,0.7406461033035225,0.8211955755117235
X-DER,3,0.7359646138142225,0.8405787936913255,0.7391859828435846,0.8237656920835823
X-DER,4,0.7519564477713508,0.8404402782754631,0.7404635882460303,0.825550854496764
X-DER,5,0.7529772031303165,0.8419112517678281,0.7404635882460303,0.8265820609409743
X-DER,6,0.7618237495746852,0.8423641871403492,0.7380908924986311,0.8262946110613807
X-DER,7,0.759782238856754,0.842525537525131,0.7362657419237087,0.8259992283117332
X-DER,8,0.7556992174208914,0.8395956353591714,0.7326154407738639,0.8250622163665642
X-DER,9,0.7519564477713508,0.8389703085179954,0.7275050191640811,0.8232066580645024
X-DER,10,0.7519564477713508,0.8385738332334618,0.7233071728417595,0.8206775390983835
X-DER,11,0.748553929908132,0.8356253619718974,0.71929184157693,0.8179802299545706
X-DER,12,0.7451514120449132,0.8321976072967513,0.716189085599562,0.8152862539494359
X-DER,13,0.743109901326982,0.827973388980396,0.7143639350246396,0.813155911694757
X-DER,14,0.7403878870364069,0.8247187785750779,0.7132688446796861,0.8110645671626111
X-DER,15,0.737665872745832,0.8208408487983787,0.7125387844497171,0.8098751699567412
C-LoRA-GNCDM,1,0.6790227464195451,0.6857766859822133,0.6381065957251628,0.712550631856494
C-LoRA-GNCDM,2,0.7499578770008425,0.8128245241441823,0.5953582240161454,0.658176759567946
C-LoRA-GNCDM,3,0.7425442291491154,0.814522947155405,0.6086597559856893,0.6628343494357936
C-LoRA-GNCDM,4,0.7258635214827296,0.801258408988191,0.6119622053022659,0.6675943609440709
C-LoRA-GNCDM,5,0.7290648694187026,0.8007054428083404,0.6117787358957893,0.6667870235044058
C-LoRA-GNCDM,6,0.7346251053074979,0.8032698909099487,0.6146225116961747,0.6728221244266569
C-LoRA-GNCDM,7,0.7317607413647852,0.7973512581203969,0.6177414916062747,0.6773234532540466
C-LoRA-GNCDM,8,0.7218197135636057,0.7888625308761409,0.6238877167232364,0.6855239630125858
C-LoRA-GNCDM,9,0.7196293176074137,0.7852451006594188,0.6260893496009541,0.6890093246121957
C-LoRA-GNCDM,10,0.7103622577927549,0.7789694301424412,0.6258141454912394,0.6888302431039082
C-LoRA-GNCDM,11,0.7130581297388374,0.7772986115241314,0.6238877167232364,0.6878225250526477
C-LoRA-GNCDM,12,0.7160909856781803,0.7811769659911371,0.6221447573617099,0.6865596572670005
C-LoRA-GNCDM,13,0.7204717775905645,0.7846283934268421,0.6203100632969453,0.6843916452069749
C-LoRA-GNCDM,14,0.7144060657118787,0.7754873869255057,0.6209522062196129,0.6844319951749079
C-LoRA-GNCDM,15,0.7098567818028644,0.7726139578350427,0.6201265938904688,0.684595677093423
