Model,epoch,ACC_new,AUC_new
Ours (Dynamic DNA),1,0.7274583191561755,0.7390284247685639
Ours (Dynamic DNA),2,0.7502551888397414,0.8175470927320561
Ours (Dynamic DNA),3,0.7441306566859476,0.8398766811304866
Ours (Dynamic DNA),4,0.7567199727798571,0.8439478298749649
Ours (Dynamic DNA),5,0.7539979584892821,0.8443242304615475
Ours (Dynamic DNA),6,0.7519564477713508,0.8435538639276748
Ours (Dynamic DNA),7,0.7478734263354883,0.8426123605937693
Ours (Dynamic DNA),8,0.7471929227628445,0.8413059996246033
Ours (Dynamic DNA),9,0.7461721674038788,0.8379575400063637
Ours (Dynamic DNA),10,0.7448111602585914,0.8350873600668085
Ours (Dynamic DNA),11,0.7448111602585914,0.8328846638341267
Ours (Dynamic DNA),12,0.7400476352500851,0.8269089281215402
Ours (Dynamic DNA),13,0.7369853691731881,0.8230688893372239
Ours (Dynamic DNA),14,0.7363048656005444,0.8210661872828796
Ours (Dynamic DNA),15,0.7339231030962913,0.8190421558619623
Ours (LoRA),1,0.6036066689350119,0.6125407641835269
Ours (LoRA),2,0.6628104797550187,0.6745700752500052
Ours (LoRA),3,0.6655324940455938,0.6947903147612265
Ours (LoRA),4,0.6662129976182375,0.6970010408730887
Ours (LoRA),5,0.6668935011908812,0.6962484906336478
Ours (LoRA),6,0.6662129976182375,0.6908757486607667
Ours (LoRA),7,0.6532834297380061,0.684963248246726
Ours (LoRA),8,0.6502211636611093,0.6808042726987118
Ours (LoRA),9,0.6485199047294998,0.6786005727311326
Ours (LoRA),10,0.6526029261653624,0.6759547275411808
Ours (LoRA),11,0.6600884654644437,0.6751823535375131
Ours (LoRA),12,0.6658727458319156,0.6755991544537223
Ours (LoRA),13,0.6743790404899626,0.6746363217532438
Ours (LoRA),14,0.6890098673018034,0.6737761209460402
Ours (LoRA),15,0.6903708744470909,0.6710820964810058
Full Replay Oracle,1,0.7584212317114665,0.8379946781975731
Full Replay Oracle,2,0.7553589656345696,0.8354898577607276
Full Replay Oracle,3,0.7536577067029602,0.8323858075900425
Full Replay Oracle,4,0.7437904048996257,0.8262695489917985
Full Replay Oracle,5,0.73732562095951,0.8219615188114976
Full Replay Oracle,6,0.7329023477373257,0.814428990272805
Full Replay Oracle,7,0.7288193263014631,0.811658932889281
Full Replay Oracle,8,0.7203130316434161,0.8073340901494461
Full Replay Oracle,9,0.7179312691391629,0.8015857003911555
Full Replay Oracle,10,0.7148690030622661,0.8009031606608189
Full Replay Oracle,11,0.715209254848588,0.7956641663630367
Full Replay Oracle,12,0.7111262334127254,0.7928396563613205
Full Replay Oracle,13,0.712146988771691,0.7843119246717034
Full Replay Oracle,14,0.7104457298400817,0.7819797466372372
Full Replay Oracle,15,0.7128274923443348,0.7773384764709484
Naive FT (NFT),1,0.7390268798911195,0.8278298548900459
Naive FT (NFT),2,0.7591017352841103,0.8433199936965448
Naive FT (NFT),3,0.7420891459680163,0.8429481099170012
Naive FT (NFT),4,0.7536577067029602,0.8409516812057666
Naive FT (NFT),5,0.7502551888397414,0.8382797389084784
Naive FT (NFT),6,0.7383463763184757,0.8309308938560384
Naive FT (NFT),7,0.737665872745832,0.8261827259231601
Naive FT (NFT),8,0.7298400816604287,0.8176271405901359
Naive FT (NFT),9,0.7237155495066349,0.811554293526211
Naive FT (NFT),10,0.7223545423613474,0.8112627085384716
Naive FT (NFT),11,0.7131677441306566,0.803105355026052
Naive FT (NFT),12,0.7172507655665192,0.8018647386926754
Naive FT (NFT),13,0.7104457298400817,0.8023821640323644
Naive FT (NFT),14,0.7084042191221503,0.8007626377751613
Naive FT (NFT),15,0.7084042191221503,0.8000346790407104
