Model,epoch,ACC_new,AUC_new,ACC_old,AUC_old
CLEAN-Full,1,0.6437563797209935,0.6595577142547419,0.736448256981201,0.8097393778869981
CLEAN-Full,2,0.7400476352500851,0.6840378046711815,0.736448256981201,0.8097393778869981
CLEAN-Full,3,0.7444709084722695,0.6869275574412388,0.736448256981201,0.8097393778869981
CLEAN-Full,4,0.7441306566859476,0.6939471774472814,0.736448256981201,0.8097393778869981
CLEAN-Full,5,0.743109901326982,0.7012997865055872,0.736448256981201,0.8097393778869981
CLEAN-Full,6,0.7424293977543382,0.7036713611347826,0.736448256981201,0.8097393778869981
CLEAN-Full,7,0.7420891459680163,0.7059914943504781,0.736448256981201,0.8097393778869981
CLEAN-Full,8,0.7420891459680163,0.706769890763531,0.736448256981201,0.8097393778869981
CLEAN-Full,9,0.7437904048996257,0.7088697041692137,0.736448256981201,0.8097393778869981
CLEAN-Full,10,0.7444709084722695,0.7095115926361992,0.736448256981201,0.8097393778869981
CLEAN-Full,11,0.7441306566859476,0.7104039129601246,0.736448256981201,0.8097393778869981
CLEAN-Full,12,0.74276964954066,0.710718081983059,0.736448256981201,0.8097393778869981
CLEAN-Full,13,0.7308608370193943,0.7100305235782347,0.736448256981201,0.8097393778869981
CLEAN-Full,14,0.7274583191561755,0.7087060953809124,0.736448256981201,0.8097393778869981
CLEAN-Full,15,0.7155495066349098,0.7086097368307471,0.736448256981201,0.8097393778869981
CLEAN-LoRA,1,0.6039469207213338,0.6122619768157314,0.736448256981201,0.8097393778869981
CLEAN-LoRA,2,0.6570261993875468,0.6721003855345742,0.736448256981201,0.8097393778869981
CLEAN-LoRA,3,0.6655324940455938,0.6950269452633249,0.736448256981201,0.8097393778869981
CLEAN-LoRA,4,0.6662129976182375,0.6969378055745428,0.736448256981201,0.8097393778869981
CLEAN-LoRA,5,0.66485199047295,0.6956540286405715,0.736448256981201,0.8097393778869981
CLEAN-LoRA,6,0.6641714869003063,0.6902920768178392,0.736448256981201,0.8097393778869981
CLEAN-LoRA,7,0.650901667233753,0.6834614099062611,0.736448256981201,0.8097393778869981
CLEAN-LoRA,8,0.6471588975842123,0.6792530004145425,0.736448256981201,0.8097393778869981
CLEAN-LoRA,9,0.6457978904389248,0.677011660388305,0.736448256981201,0.8097393778869981
CLEAN-LoRA,10,0.645457638652603,0.6758172158602158,0.736448256981201,0.8097393778869981
CLEAN-LoRA,11,0.6539639333106498,0.6743648114634555,0.736448256981201,0.8097393778869981
CLEAN-LoRA,12,0.6617897243960531,0.6735803926410172,0.736448256981201,0.8097393778869981
CLEAN-LoRA,13,0.673018033344675,0.6742022064100517,0.736448256981201,0.8097393778869981
CLEAN-LoRA,14,0.6924123851650221,0.6724873253375812,0.736448256981201,0.8097393778869981
CLEAN-LoRA,15,0.6917318815923783,0.6700610471564692,0.736448256981201,0.8097393778869981
Full-Replay,1,0.7400476352500851,0.8326327263748408,0.728965139624019,0.818688055284238
Full-Replay,2,0.7550187138482477,0.8329549252769556,0.7360832268662164,0.8239690135429424
Full-Replay,3,0.7533174549166383,0.8329699813004189,0.7355356816937397,0.8242379311714862
Full-Replay,4,0.751275944198707,0.8296867644505205,0.7295126847964957,0.8213399004164823
Full-Replay,5,0.7369853691731881,0.8243348499767635,0.7253148384741741,0.8181210883951043
Full-Replay,6,0.7359646138142225,0.8161606839048098,0.72823507939405,0.8162463978770307
Full-Replay,7,0.7294998298741069,0.8085957849156712,0.7242197481292206,0.811184893468888
Full-Replay,8,0.7182715209254849,0.8058711465362614,0.7196568716919146,0.8090568844112836
Full-Replay,9,0.7179312691391629,0.8069220569740004,0.7174666910020077,0.8079144177980007
Full-Replay,10,0.7196325280707724,0.8038566505968711,0.7194743566344224,0.8033070868661271
Full-Replay,11,0.7169105137801973,0.8007771919311759,0.7200219018068991,0.8034774769153482
Full-Replay,12,0.7186117727118068,0.8018260948991197,0.7081584230699033,0.7979667987389536
Full-Replay,13,0.7162300102075536,0.7930915938206066,0.7090709983573645,0.796677207384422
Full-Replay,14,0.7104457298400817,0.7814527858160214,0.7001277605402446,0.7916389682842522
Full-Replay,15,0.7131677441306566,0.7791840940138254,0.7114436941047636,0.7949033776427457
X-DER,1,0.7312010888057162,0.8118338336951798,0.7428362839934295,0.8181389540184186
X-DER,2,0.7339231030962913,0.8386395778692515,0.7406461033035225,0.8211955755117235
X-DER,3,0.7359646138142225,0.8405787936913255,0.7391859828435846,0.8237656920835823
X-DER,4,0.7519564477713508,0.8404402782754631,0.7404635882460303,0.825550854496764
X-DER,5,0.7529772031303165,0.8419112517678281,0.7404635882460303,0.8265820609409743
X-DER,6,0.7618237495746852,0.8423641871403492,0.7380908924986311,0.8262946110613807
X-DER,7,0.759782238856754,0.842525537525131,0.7362657419237087,0.8259992283117332
X-DER,8,0.7556992174208914,0.8395956353591714,0.7326154407738639,0.8250622163665642
X-DER,9,0.7519564477713508,0.8389703085179954,0.7275050191640811,0.8232066580645024
X-DER,10,0.7519564477713508,0.8385738332334618,0.7233071728417595,0.8206775390983835
X-DER,11,0.748553929908132,0.8356253619718974,0.71929184157693,0.8179802299545706
X-DER,12,0.7451514120449132,0.8321976072967513,0.716189085599562,0.8152862539494359
X-DER,13,0.743109901326982,0.827973388980396,0.7143639350246396,0.813155911694757
X-DER,14,0.7403878870364069,0.8247187785750779,0.7132688446796861,0.8110645671626111
X-DER,15,0.737665872745832,0.8208408487983787,0.7125387844497171,0.8098751699567412
C-LoRA-GNCDM,1,0.6790227464195451,0.6857766859822133,0.6381065957251628,0.712550631856494
C-LoRA-GNCDM,2,0.7499578770008425,0.8128245241441823,0.5953582240161454,0.658176759567946
C-LoRA-GNCDM,3,0.7425442291491154,0.814522947155405,0.6086597559856893,0.6628343494357936
C-LoRA-GNCDM,4,0.7258635214827296,0.801258408988191,0.6119622053022659,0.6675943609440709
C-LoRA-GNCDM,5,0.7290648694187026,0.8007054428083404,0.6117787358957893,0.6667870235044058
C-LoRA-GNCDM,6,0.7346251053074979,0.8032698909099487,0.6146225116961747,0.6728221244266569
C-LoRA-GNCDM,7,0.7317607413647852,0.7973512581203969,0.6177414916062747,0.6773234532540466
C-LoRA-GNCDM,8,0.7218197135636057,0.7888625308761409,0.6238877167232364,0.6855239630125858
C-LoRA-GNCDM,9,0.7196293176074137,0.7852451006594188,0.6260893496009541,0.6890093246121957
C-LoRA-GNCDM,10,0.7103622577927549,0.7789694301424412,0.6258141454912394,0.6888302431039082
C-LoRA-GNCDM,11,0.7130581297388374,0.7772986115241314,0.6238877167232364,0.6878225250526477
C-LoRA-GNCDM,12,0.7160909856781803,0.7811769659911371,0.6221447573617099,0.6865596572670005
C-LoRA-GNCDM,13,0.7204717775905645,0.7846283934268421,0.6203100632969453,0.6843916452069749
C-LoRA-GNCDM,14,0.7144060657118787,0.7754873869255057,0.6209522062196129,0.6844319951749079
C-LoRA-GNCDM,15,0.7098567818028644,0.7726139578350427,0.6201265938904688,0.684595677093423
EWC,1,0.754338210275604,,0.6461033035225406,
EWC,2,0.7475331745491663,,0.662164628581858,
EWC,3,0.7475331745491663,,0.6722029567439314,
EWC,4,0.7461721674038788,,0.6711078663989779,
EWC,5,0.7407281388227288,,0.6663624749041795,
EWC,6,0.7451514120449132,,0.674940682606315,
EWC,7,0.7434501531133039,,0.6743931374338383,
EWC,8,0.7492344334807758,,0.6729330169739004,
EWC,9,0.7359646138142225,,0.677130863296222,
EWC,10,0.7448111602585914,,0.6795035590436211,
EWC,11,0.7339231030962913,,0.6782259536411754,
EWC,12,0.7356243620279006,,0.6773133783537142,
EWC,13,0.7400476352500851,,0.6774958934112064,
EWC,14,0.7332425995236475,,0.6805986493885745,
EWC,15,0.7322218441646818,,0.6776784084686986,
DER++,1,0.7437904048996257,,0.7200219018068991,
DER++,2,0.7451514120449132,,0.7121737543347326,
DER++,3,0.7403878870364069,,0.6849790107683884,
DER++,4,0.7369853691731881,,0.6979375798503377,
DER++,5,0.7397073834637632,,0.6955648841029385,
DER++,6,0.7380061245321538,,0.6920970980105858,
DER++,7,0.7220142905750255,,0.6968424895053842,
DER++,8,0.7281388227288194,,0.6911845227231247,
DER++,9,0.7267778155835318,,0.6875342215732798,
DER++,10,0.7213337870023817,,0.6948348238729695,
DER++,11,0.7247363048656006,,0.6886293119182333,
DER++,12,0.7277985709424974,,0.6878992516882643,
DER++,13,0.720653283429738,,0.6897244022631868,
DER++,14,0.7135079959169786,,0.6893593721482022,
DER++,15,0.7169105137801973,,0.6878992516882643,
