dataset,split,protocol,method,metric,n,mean,sd
a0910,random,ec6331b45abd69ac,C-LoRA,Balanced_AUC,5,0.6801349686813123,0.0026719711453068347
a0910,random,ec6331b45abd69ac,C-LoRA-GNCDM,Balanced_AUC,5,0.7313111222773697,0.020300654949843313
a0910,random,ec6331b45abd69ac,CLEAN-Full,Balanced_AUC,5,0.7540693124684583,0.0016587475887610461
a0910,random,ec6331b45abd69ac,CLEAN-LoRA,Balanced_AUC,5,0.7501501673669377,0.0026514994217145325
a0910,random,ec6331b45abd69ac,DER++,Balanced_AUC,5,0.7006459083241923,0.004834440263833892
a0910,random,ec6331b45abd69ac,EWC,Balanced_AUC,5,0.6801406789230046,0.004981822402207561
a0910,random,ec6331b45abd69ac,Full-Replay,Balanced_AUC,5,0.7613007427096518,0.0014279421235048428
a0910,random,ec6331b45abd69ac,G-NCDM(Anchor),Balanced_AUC,0,,
a0910,random,ec6331b45abd69ac,ICD,Balanced_AUC,5,0.6352006086008852,0.0
a0910,random,ec6331b45abd69ac,X-DER,Balanced_AUC,5,0.7290852952280819,0.004575312553919273
