dataset,split,protocol,seed,train_seed,support_query_seed,support_frac,method,method_label,method_family,is_oracle,drift_space,selected_hparams,selection_source,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
a0910,random,ec6331b45abd69ac,84,84,,,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.7549582095136671,,0.42964611936505404,,0.7333563572605069,,0.810769027733263,,
a0910,random,ec6331b45abd69ac,84,84,,,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.6985632078288817,0.6656500320007664,0.5238021853760005,0.5395439240353753,0.6719090377769513,0.6412449512948444,0.7515090543259557,0.7180995052739662,0.08990536630153656
a0910,random,ec6331b45abd69ac,84,84,,,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.7118553013734492,0.695482840146951,0.45254463314331533,0.4602944991145062,0.6928962329313001,0.6789617486338798,0.7737591983716925,0.7623235565718306,0.037381984293460846
a0910,random,ec6331b45abd69ac,84,84,,,C-LoRA,C-LoRA (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.6950451327603286,0.6602660810203158,0.5232141325103133,0.541442495068591,0.6732639073375485,0.6378593490140175,0.7543884173739391,0.7143325680551,0.13037896156311035
a0910,random,ec6331b45abd69ac,84,84,,,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_existing_result,0.7409290112429907,0.7132924138185506,0.43160029723454635,0.44795195871332405,0.7276712183199617,0.6970776906628653,0.8108008342407855,0.7807206122624474,0.08832929283380508
a0910,random,ec6331b45abd69ac,84,84,,,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.7602634632382872,0.7619478009901324,0.42781515821102645,0.4305273554177323,0.7379788534084267,0.7349132810643858,0.8169348701672328,0.808249194414608,0.07025294750928879
a0910,random,ec6331b45abd69ac,84,84,,,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=10),gncdm_baseline,False,gncdm_concept,"{""lambda"": 10.0}",fixed_from_existing_result,0.7325979298976915,0.7486920170276642,0.4650338797738834,0.4355328378263938,0.6956059720524945,0.7265977666904253,0.7691966803641931,0.7989341720176473,0.1172870323061943
a0910,random,ec6331b45abd69ac,84,84,,,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.6028792068283719,0.6675220103733986,0.4915865469056293,0.4728266685014651,0.543976824655991,0.65,0.5920380102224462,0.7509739286784537,4.224229335784912
a0910,random,ec6331b45abd69ac,84,84,,,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.7549582095136671,0.7513086086281013,0.42964611936505404,0.43418902167739065,0.7333563572605069,0.7229151817533856,0.810769027733263,0.7961546864758575,0.0
a0910,random,ec6331b45abd69ac,84,84,,,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.7549582095136671,0.746507723041359,0.42964611936505404,0.4373662400364373,0.7333563572605069,0.7201829413162272,0.810769027733263,0.7903333481685878,0.0
