dataset,split,protocol,seed,train_seed,support_query_seed,support_frac,method,method_label,method_family,is_oracle,drift_space,selected_hparams,selection_source,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
a0910,random,9966d06373a45c5e,2,2,,,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.759405785898435,,0.426084882888801,,0.7364380213591202,,0.8180601148012984,,
a0910,random,9966d06373a45c5e,2,2,,,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7036526579362534,0.665834470742452,0.5241891587100393,0.5406370938364687,0.6726263216619733,0.6432644333570919,0.7517876206014462,0.7205211726384365,0.09005623310804367
a0910,random,9966d06373a45c5e,2,2,,,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.7082190596205818,0.6979136043551013,0.45578294527946084,0.46154981069303525,0.6876361511078051,0.6777144214777857,0.7698030463213125,0.7612846458424989,0.04707375913858414
a0910,random,9966d06373a45c5e,2,2,,,C-LoRA,C-LoRA (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.6993235640537131,0.6623352543457783,0.5221560533909007,0.5405652656405495,0.6761330428776366,0.641720123544785,0.7575233208027528,0.7189189189189189,0.13073943555355072
a0910,random,9966d06373a45c5e,2,2,,,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_existing_result,0.7420920099147147,0.7143315670053748,0.431985008919766,0.44778381640493237,0.7261835184102864,0.6995723449750535,0.8111198665909216,0.7813418640843852,0.07319916039705276
a0910,random,9966d06373a45c5e,2,2,,,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.7615817967125482,0.7660226588407608,0.4285714471433734,0.42954106870872694,0.7361457945911482,0.7337253504395344,0.8170026163540554,0.805332406965131,0.07331845909357071
a0910,random,9966d06373a45c5e,2,2,,,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=10),gncdm_baseline,False,gncdm_concept,"{""lambda"": 10.0}",fixed_from_existing_result,0.7444696046048601,0.745026734804954,0.4409540708491446,0.4405237670214559,0.7171776207427873,0.7163221667854597,0.7961161329860579,0.7843597616037565,0.11710033565759659
a0910,random,9966d06373a45c5e,2,2,,,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.6028792068283719,0.6675220103733986,0.4915865469056293,0.4728266685014651,0.543976824655991,0.65,0.5920380102224462,0.7509739286784537,4.224229335784912
a0910,random,9966d06373a45c5e,2,2,,,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.759405785898435,0.7505597444565487,0.426084882888801,0.4339630638342306,0.7364380213591202,0.7237467331907816,0.8180601148012984,0.7989104587314627,0.0
a0910,random,9966d06373a45c5e,2,2,,,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.759405785898435,0.7377733091374445,0.426084882888801,0.43971456267264225,0.7364380213591202,0.7191732002851033,0.8180601148012984,0.7928677823534566,0.0
a0910,random,9966d06373a45c5e,3,3,,,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.7618131055610107,,0.4254196516725343,,0.7364911534987514,,0.8131628020870614,,
a0910,random,9966d06373a45c5e,3,3,,,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7014044311506792,0.6647837505539153,0.5272376482347411,0.54115715358693,0.6678709951649753,0.6418389166072701,0.7435276740655643,0.7157001414427157,0.08957261592149734
a0910,random,9966d06373a45c5e,3,3,,,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.715445706679241,0.694202748450842,0.44901805718047877,0.46000957728870634,0.696801445194198,0.6827631266334047,0.7798205845471207,0.7685975477665612,0.03651287406682968
a0910,random,9966d06373a45c5e,3,3,,,C-LoRA,C-LoRA (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.6985706668449213,0.6634224151676782,0.5221626970088692,0.5393332756711575,0.6734233037564423,0.642967450700879,0.7538199659557424,0.7200670609602757,0.1309344321489334
a0910,random,9966d06373a45c5e,3,3,,,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_existing_result,0.7488924313395986,0.7069733134773591,0.4281973629945325,0.4498392212731886,0.7311779395356252,0.6926229508196722,0.8142177832449006,0.7791198941482778,0.06023769453167915
a0910,random,9966d06373a45c5e,3,3,,,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.7634960484354857,0.7628364305557274,0.4269006012503758,0.42966291679059276,0.736517719568567,0.7277263007840342,0.8139561057962859,0.7991059689718644,0.058844923973083496
a0910,random,9966d06373a45c5e,3,3,,,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=10),gncdm_baseline,False,gncdm_concept,"{""lambda"": 10.0}",fixed_from_existing_result,0.7251888987876909,0.72457819089438,0.44824125396942016,0.44713301762363294,0.7032304340895807,0.6974340698503207,0.7981570150871804,0.779728444175387,0.10248276591300964
a0910,random,9966d06373a45c5e,3,3,,,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.6028792068283719,0.6675220103733986,0.4915865469056293,0.4728266685014651,0.543976824655991,0.65,0.5920380102224462,0.7509739286784537,4.224229335784912
a0910,random,9966d06373a45c5e,3,3,,,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.7618131055610107,0.7512913878346547,0.4254196516725343,0.4336268391837496,0.7364911534987514,0.7235685435970539,0.8131628020870614,0.7967330538085255,0.0
a0910,random,9966d06373a45c5e,3,3,,,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.7618131055610107,0.751433991569487,0.4254196516725343,0.4335788485389108,0.7364911534987514,0.7233309574720836,0.8131628020870614,0.7986687413554634,0.0
a0910,random,9966d06373a45c5e,5,5,,,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.7576221796349436,,0.42657512812586806,,0.7333829233303225,,0.8107700429896674,,
a0910,random,9966d06373a45c5e,5,5,,,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.6863270919461164,0.647307865043854,0.5331422642951363,0.5419772661301042,0.6513734658094682,0.6297814207650273,0.7261763171622326,0.707137151717333,0.09026592969894409
a0910,random,9966d06373a45c5e,5,5,,,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.717004826713409,0.6851476325574962,0.4536525832162282,0.46594885614164355,0.6924977418840657,0.6714183891660727,0.7713489915650988,0.7558047143992231,0.037114281207323074
