dataset,split,protocol,seed,train_seed,support_query_seed,support_frac,method,method_label,method_family,is_oracle,drift_space,selected_hparams,selection_source,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
a0910,random,9966d06373a45c5e,11,11,,,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.7588294642306219,,0.4274132562466135,,0.7337548483077414,,0.8120264085827894,,
a0910,random,9966d06373a45c5e,11,11,,,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7003040644083178,0.6639663618161493,0.5258051186795537,0.5403348674894444,0.6698103182615164,0.6386315039201711,0.7469717636041612,0.7126936154136758,0.09062992036342621
a0910,random,9966d06373a45c5e,11,11,,,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.7093486419004482,0.6974179705396402,0.4565897123020276,0.46284282392339127,0.6900005313213963,0.6790211451651224,0.7721209990821567,0.7619802677942212,0.047703176736831665
a0910,random,9966d06373a45c5e,11,11,,,C-LoRA,C-LoRA (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.6973923422757731,0.6607243128289204,0.5205254938218739,0.5391070877348233,0.6782583284628872,0.6428486576383939,0.7618054872652178,0.7215301255036355,0.13035820424556732
a0910,random,9966d06373a45c5e,11,11,,,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_existing_result,0.7488382979274474,0.711690422231118,0.42938861944520146,0.44809077994968777,0.7299559003241061,0.6982656212877167,0.8111823163369555,0.7836640831275019,0.056166112422943115
a0910,random,9966d06373a45c5e,11,11,,,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.7625867356603431,0.7639550420247636,0.42934078525129415,0.4331321385912439,0.735800435683545,0.7261819909717272,0.8147389206609414,0.7980903994393833,0.08277871459722519
a0910,random,9966d06373a45c5e,11,11,,,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=10),gncdm_baseline,False,gncdm_concept,"{""lambda"": 10.0}",fixed_from_existing_result,0.7356525905829255,0.7501268898561867,0.4486993501583212,0.4365146980128384,0.709048403379204,0.7233903540033262,0.7886285559887289,0.793618435630401,0.13276468217372894
a0910,random,9966d06373a45c5e,11,11,,,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.6028792068283719,0.6675220103733986,0.4915865469056293,0.4728266685014651,0.543976824655991,0.65,0.5920380102224462,0.7509739286784537,4.224229335784912
a0910,random,9966d06373a45c5e,11,11,,,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.7588294642306219,0.7426508146656091,0.4274132562466135,0.4373225697224524,0.7337548483077414,0.720064148253742,0.8120264085827894,0.7934796897594321,0.0
a0910,random,9966d06373a45c5e,11,11,,,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.7588294642306219,0.7423624407673757,0.4274132562466135,0.4390690596851225,0.7337548483077414,0.720064148253742,0.8120264085827894,0.794524131316214,0.0
