dataset,split,protocol,method,metric,n,mean,sd
a0910,user,a224e306d0064143,C-LoRA,Balanced_AUC,5,0.6854072620609704,0.004767602650515886
a0910,user,a224e306d0064143,C-LoRA-GNCDM,Balanced_AUC,5,0.6592795857183036,0.00617568951811899
a0910,user,a224e306d0064143,CLEAN-Full,Balanced_AUC,5,0.6850154603344535,0.0033350083313015855
a0910,user,a224e306d0064143,CLEAN-LoRA,Balanced_AUC,5,0.6927164159274833,0.005434794474104349
a0910,user,a224e306d0064143,DER++,Balanced_AUC,5,0.680300564978249,0.003710371218183311
a0910,user,a224e306d0064143,EWC,Balanced_AUC,5,0.6898670347497535,0.007746359093276706
a0910,user,a224e306d0064143,Full-Replay,Balanced_AUC,5,0.6700156010158602,0.011190045016347273
a0910,user,a224e306d0064143,G-NCDM(Anchor),Balanced_AUC,0,,
a0910,user,a224e306d0064143,ICD,Balanced_AUC,5,0.6327623081941234,0.0
a0910,user,a224e306d0064143,X-DER,Balanced_AUC,5,0.6692007249391924,0.0069675767934510345
