dataset,split,protocol,seed,train_seed,support_query_seed,support_frac,method,method_label,method_family,is_oracle,drift_space,selected_hparams,selection_source,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
a0910,user,a224e306d0064143,1,1,7,0.5,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.6685083458629069,,0.44840892448854536,,0.7106601702628902,,0.8092346794690766,,
a0910,user,a224e306d0064143,1,1,7,0.5,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7074091281223229,0.6769699957610217,0.5002102717979099,0.5186856581826109,0.6861915725223537,0.6494784257942152,0.7680557204479798,0.7240832322478306,0.0863502249121666
a0910,user,a224e306d0064143,1,1,7,0.5,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.6979894468092738,0.6740303420391704,0.4990069896883475,0.5122820905383307,0.6773571772768646,0.6529160739687055,0.7610247461928934,0.7280832095096582,0.1158980280160904
a0910,user,a224e306d0064143,1,1,7,0.5,C-LoRA,C-LoRA (lambda=10.0),continual_learning_baseline,False,embedding,"{""lambda"": 10.0}",fixed_from_existing_result,0.6920970992174769,0.6803186736998275,0.4585369923513813,0.4756752917138387,0.6879584515714515,0.6696301564722618,0.7782681479226906,0.7544277028813111,0.14138349890708923
a0910,user,a224e306d0064143,1,1,7,0.5,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_user_specification,0.6533865845153852,0.6686102421235932,0.45255822022192316,0.46363249506583837,0.7022541093323339,0.677335229966809,0.8016125004459349,0.7713373655913979,0.04332266002893448
a0910,user,a224e306d0064143,1,1,7,0.5,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.6651447899191686,0.6926971431729263,0.4536742108991247,0.4579924317014151,0.703432028698399,0.6723565670934092,0.7966667890312397,0.7722853847421322,0.03066583350300789
a0910,user,a224e306d0064143,1,1,7,0.5,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=10),gncdm_baseline,False,gncdm_concept,"{""lambda"": 10.0}",fixed_from_existing_result,0.6460160571050559,0.6706558166720207,0.4972218613603825,0.47098863371462835,0.6349520800985169,0.6541014698909435,0.7190075832509067,0.7319000367511944,0.03677380830049515
a0910,user,a224e306d0064143,1,1,7,0.5,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.6175679079884121,0.6479567083998348,0.5038264506443288,0.4888866412348883,0.5133632093299498,0.6338922155688623,0.5261553020345934,0.713146288824247,4.12156343460083
a0910,user,a224e306d0064143,1,1,7,0.5,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.6685083458629069,0.6983682201061794,0.44840892448854536,0.4577140189044169,0.7106601702628902,0.6757942152678995,0.8092346794690766,0.7622359384508389,0.0
a0910,user,a224e306d0064143,1,1,7,0.5,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.6685083458629069,0.7309063837585521,0.44840892448854536,0.443280067601254,0.7106601702628902,0.7075628259838787,0.8092346794690766,0.788294859692783,0.0
a0910,user,a224e306d0064143,7,7,7,0.5,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.6560687835020227,,0.45103411415919953,,0.7046099480644643,,0.7999419806360373,,
a0910,user,a224e306d0064143,7,7,7,0.5,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7117659716956242,0.6805578606624693,0.4999333408264193,0.5187418750984254,0.6852813621031215,0.6527975343764817,0.7665607625099286,0.7301704283740212,0.08226744830608368
a0910,user,a224e306d0064143,7,7,7,0.5,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.6868717692918184,0.667867559349172,0.5045202574442721,0.5149936617364451,0.6704502864485731,0.6465149359886202,0.7564787339268051,0.7249077490774908,0.1160009577870369
a0910,user,a224e306d0064143,7,7,7,0.5,C-LoRA,C-LoRA (lambda=10.0),continual_learning_baseline,False,embedding,"{""lambda"": 10.0}",fixed_from_existing_result,0.676593128189833,0.6806217385760261,0.4734209590224967,0.4797793602537267,0.6712534132890722,0.6605026078710289,0.7615163520546882,0.7444226307335357,0.144002303481102
a0910,user,a224e306d0064143,7,7,7,0.5,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_user_specification,0.6595982269120604,0.6754376513775047,0.4508771295121397,0.4634620953356192,0.6963109707126413,0.6654812707444286,0.7969499534617313,0.7770227560050569,0.028496582061052322
a0910,user,a224e306d0064143,7,7,7,0.5,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.6527302339631678,0.6690832047159254,0.4584710376504857,0.46164332974699296,0.6944370080848102,0.6844476055002371,0.7877097050180412,0.7737164229853791,0.03930051252245903
