dataset,split,protocol,seed,train_seed,support_query_seed,support_frac,method,method_label,method_family,is_oracle,drift_space,selected_hparams,selection_source,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
a0910,user,6724fbe7bf2c028a,2,2,7,0.5,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.6637695035783618,,0.4523714360673,,0.7083578733201263,,0.8001760886312778,,
a0910,user,6724fbe7bf2c028a,2,2,7,0.5,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7146419258188592,0.6793132540836064,0.49340934994389357,0.5155951238270986,0.6879584515714515,0.6493598862019915,0.7686750813685799,0.7222013523666416,0.08492521196603775
a0910,user,6724fbe7bf2c028a,2,2,7,0.5,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.6937560661793549,0.6756522303791264,0.49795986203061854,0.5089196659779371,0.6747871713872677,0.6567093409198672,0.7612233666168724,0.732939874585024,0.1152276024222374
a0910,user,6724fbe7bf2c028a,2,2,7,0.5,C-LoRA,C-LoRA (lambda=10.0),continual_learning_baseline,False,embedding,"{""lambda"": 10.0}",fixed_from_existing_result,0.6969066424474394,0.6908734030446033,0.4610924549670275,0.47276856355545926,0.6883332440970177,0.6769796111901375,0.7755542702911123,0.757454383622608,0.1449349820613861
a0910,user,6724fbe7bf2c028a,2,2,7,0.5,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_user_specification,0.6702001250781738,0.6699289446637093,0.4498052660623509,0.4632390863768574,0.7063232853241955,0.6623992413466098,0.8010446516014363,0.7652102225886233,0.022784046828746796
a0910,user,6724fbe7bf2c028a,2,2,7,0.5,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.6606252629694107,0.6878236181163688,0.45628926563626176,0.4613061087217091,0.69459763345291,0.6776908487434803,0.7883330859432982,0.7768934110117338,0.02754014916718006
a0910,user,6724fbe7bf2c028a,2,2,7,0.5,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=10),gncdm_baseline,False,gncdm_concept,"{""lambda"": 10.0}",fixed_from_existing_result,0.6421634291514422,0.6663067072172005,0.5097816967167836,0.4778171873834406,0.6166943299245061,0.6410621147463252,0.6930497791879261,0.7114541642843529,0.03530316799879074
a0910,user,6724fbe7bf2c028a,2,2,7,0.5,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.6175679079884121,0.6479567083998348,0.5038264506443288,0.4888866412348883,0.5133632093299498,0.6338922155688623,0.5261553020345934,0.713146288824247,4.12156343460083
a0910,user,6724fbe7bf2c028a,2,2,7,0.5,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.6637695035783618,0.7056195876467551,0.4523714360673,0.4535861805240364,0.7083578733201263,0.6844476055002371,0.8001760886312778,0.7815884476534296,0.0
a0910,user,6724fbe7bf2c028a,2,2,7,0.5,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.6637695035783618,0.718194376651628,0.4523714360673,0.4482203347003675,0.7083578733201263,0.6986723565670934,0.8001760886312778,0.7828092959671907,0.0
a0910,user,6724fbe7bf2c028a,3,3,7,0.5,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.6658242943058049,,0.4535126195719025,,0.7014509824918349,,0.79215744744297,,
a0910,user,6724fbe7bf2c028a,3,3,7,0.5,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7247643049096282,0.6789419882736718,0.48713250507474726,0.5153113121415321,0.6989880601809713,0.6520862968231389,0.7773641691747188,0.7282659013054347,0.08529751002788544
