dataset,split,protocol,seed,train_seed,support_query_seed,support_frac,method,method_label,method_family,is_oracle,drift_space,selected_hparams,selection_source,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
a0910,user,6724fbe7bf2c028a,13,13,7,0.5,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.6622363861453046,,0.4544321575274207,,0.6968463886063072,,0.7898448519040903,,
a0910,user,6724fbe7bf2c028a,13,13,7,0.5,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7076428882325119,0.6835772030639874,0.5000631020329064,0.5141762198360239,0.6845853188413557,0.6563537221431959,0.767402376910017,0.7299487657196088,0.08443699777126312
a0910,user,6724fbe7bf2c028a,13,13,7,0.5,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.6942655560210056,0.6796973982613479,0.5001069267187056,0.5088797627518914,0.6743588370723349,0.6583688952110005,0.7594335891147852,0.7352562924857615,0.11551135033369064
a0910,user,6724fbe7bf2c028a,13,13,7,0.5,C-LoRA,C-LoRA (lambda=10.0),continual_learning_baseline,False,embedding,"{""lambda"": 10.0}",fixed_from_existing_result,0.7021347677107385,0.7066076849513491,0.4591790633332233,0.4659247647889802,0.6944905498741768,0.6861071597913703,0.7812452077902162,0.7639928698752229,0.14679652452468872
a0910,user,6724fbe7bf2c028a,13,13,7,0.5,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_user_specification,0.6622168385601532,0.6710939230247259,0.45494301904488793,0.46545087075322983,0.6952401349253092,0.6600284495021337,0.7911805708415878,0.7617940199335548,0.0361064188182354
a0910,user,6724fbe7bf2c028a,13,13,7,0.5,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.6581002226117234,0.6910984721721143,0.4561423358939043,0.4591919789098263,0.6891363709375168,0.6703413940256046,0.7853921786057515,0.7774309723889555,0.029826633632183075
a0910,user,6724fbe7bf2c028a,13,13,7,0.5,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=10),gncdm_baseline,False,gncdm_concept,"{""lambda"": 10.0}",fixed_from_existing_result,0.6492015091658725,0.6725771724098443,0.49108256997112,0.4672009790136757,0.6428762649247738,0.6698672356567094,0.7278217579368318,0.7513614855816445,0.031339459121227264
a0910,user,6724fbe7bf2c028a,13,13,7,0.5,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.6175679079884121,0.6479567083998348,0.5038264506443288,0.4888866412348883,0.5133632093299498,0.6338922155688623,0.5261553020345934,0.713146288824247,4.12156343460083
a0910,user,6724fbe7bf2c028a,13,13,7,0.5,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.6622363861453046,0.7081048405552256,0.4544321575274207,0.4527833004869845,0.6968463886063072,0.6776908487434803,0.7898448519040903,0.7811317717137567,0.0
a0910,user,6724fbe7bf2c028a,13,13,7,0.5,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.6622363861453046,0.7238691417559431,0.4544321575274207,0.44640836260402267,0.6968463886063072,0.7023470839260313,0.7898448519040903,0.7875814228914644,0.0
