dataset,split,protocol,method,metric,n,mean,sd
a0910,user,merged_10seed,C-LoRA,ACC_old,10,0.6880815976869947,0.006646041378191904
a0910,user,merged_10seed,C-LoRA,ACC_new,10,0.6722498814604079,0.006960258415632664
a0910,user,merged_10seed,C-LoRA,ACC_overall,10,0.6831556817762697,0.006232825509130986
a0910,user,merged_10seed,C-LoRA-GNCDM,ACC_old,10,0.6290410665524442,0.019711640813359098
a0910,user,merged_10seed,C-LoRA-GNCDM,ACC_new,10,0.6474039829302987,0.022591201966216966
a0910,user,merged_10seed,C-LoRA-GNCDM,ACC_overall,10,0.6347545457898425,0.011557911740296621
a0910,user,merged_10seed,CLEAN-Full,ACC_old,10,0.7023986721636237,0.005415934242828694
a0910,user,merged_10seed,CLEAN-Full,ACC_new,10,0.6830132764343291,0.007413638326210316
a0910,user,merged_10seed,CLEAN-Full,ACC_overall,10,0.696367056393612,0.004499626033442377
a0910,user,merged_10seed,DER++,ACC_old,10,0.6732505220324463,0.0027966211425720995
a0910,user,merged_10seed,DER++,ACC_new,10,0.6528805120910384,0.005749421418106293
a0910,user,merged_10seed,DER++,ACC_overall,10,0.6669125511747132,0.002147446114854075
a0910,user,merged_10seed,EWC,ACC_old,10,0.6872998875622424,0.007676026744506367
a0910,user,merged_10seed,EWC,ACC_new,10,0.6547889995258416,0.005781578822061622
a0910,user,merged_10seed,EWC,ACC_overall,10,0.6771843764983587,0.006322657285961584
a0910,user,merged_10seed,G-NCDM(Anchor),ACC_old,10,0.7023986721636237,0.005415934242828694
a0910,user,merged_10seed,G-NCDM(Anchor),ACC_new,0,,
a0910,user,merged_10seed,G-NCDM(Anchor),ACC_overall,0,,
a0910,user,merged_10seed,ICD,ACC_old,10,0.5133632093299498,0.0
a0910,user,merged_10seed,ICD,ACC_new,10,0.6338922155688624,1.1702778228589004e-16
a0910,user,merged_10seed,ICD,ACC_overall,10,0.5508648763026738,0.0
a0910,user,merged_10seed,X-DER,ACC_old,10,0.6995341864325105,0.0057354339751848485
a0910,user,merged_10seed,X-DER,ACC_new,10,0.6687292555713608,0.005432224025087454
a0910,user,merged_10seed,X-DER,ACC_overall,10,0.6899494707335964,0.004545346555468139
