method,n,ACC_old,ACC_new,ACC_overall,ACC_overall_sd,F1_old,F1_new,RMSE_old,RMSE_new,TMD,TMD_sd
C-LoRA,10,0.6880815976869947,0.6722498814604079,0.6831556817762697,0.006232825509130986,0.7780127444876686,0.7559760663127217,0.46237362066832655,0.4740759051559699,0.14376264959573745,0.0024258479015646975
C-LoRA-GNCDM,10,0.6290410665524442,0.6474039829302987,0.6347545457898425,0.011557911740296621,0.7106082740488348,0.7181329997703143,0.5009603711994925,0.47401547666830907,0.03774734474718567,0.007215631350573494
CLEAN-Full,10,0.7023986721636237,0.6830132764343291,0.696367056393612,0.004499626033442377,0.7964687250248974,0.7765102732240852,0.4521640779761003,0.4541999341637858,0.0,0.0
CLEAN-LoRA,10,0.7023986721636237,0.6992413466097676,0.7014162947663483,0.004456355701626008,0.7964687250248974,0.7858098008430183,0.4521640779761003,0.4476482583426245,0.0,0.0
DER++,10,0.6732505220324463,0.6528805120910384,0.6669125511747132,0.002147446114854075,0.7590131106623899,0.7297164459046915,0.5009170094927241,0.5108249089240215,0.11595942601561544,0.0006342909200553721
EWC,10,0.6872998875622424,0.6547889995258416,0.6771843764983587,0.006322657285961584,0.7689531005259738,0.7305724141439621,0.4969299858030582,0.5151924175773988,0.08469931110739704,0.0012221720363661218
Full-Replay,10,0.6952026556727526,0.6781768610715979,0.689905211522148,0.004839623039841748,0.7893253914570802,0.7763106242697931,0.4564071547167507,0.4599206789239025,0.03443448003381484,0.010402607856892267
G-NCDM(Anchor),10,0.7023986721636237,,0.7023986721636237,0.005415934242828693,0.7964687250248974,,0.4521640779761003,,,
ICD,10,0.5133632093299498,0.6338922155688624,0.5508648763026738,0.0,0.5261553020345933,0.713146288824247,0.5038264506443288,0.48888664123488834,4.12156343460083,0.0
X-DER,10,0.6995341864325105,0.6687292555713608,0.6899494707335964,0.004545346555468139,0.7969744573138676,0.7714869437771538,0.4532982791699589,0.4639172779138974,0.03337511513382191,0.006213469532311317
