Paradigm,Model,ACC_overall,ACC_last,ACC_new,F1_last,F1_new,RMSE_last,RMSE_new,RD
Anchor,G-NCDM,70.24±0.54,70.24±0.54,—,79.65±0.69,—,45.22±0.29,—,—
Ours,CLEAN-Full,69.64±0.45,70.24±0.54,68.30±0.74*,79.65±0.69,77.65±0.91,45.22±0.29,45.42±0.20*,0.00±0.00
Ours,CLEAN-LoRA,70.14±0.45,70.24±0.54,69.92±0.40*,79.65±0.69,78.58±0.23*,45.22±0.29,44.76±0.22*,0.00±0.00
Baselines,Full Replay Oracle,68.99±0.48,69.52±0.77,67.82±0.61,78.93±0.89,77.63±0.55,45.64±0.31,45.99±0.23,3.44±1.04
Baselines,EWC,67.72±0.63,68.73±0.77,65.48±0.58,76.90±0.61,73.06±0.62,49.69±0.54,51.52±0.32,8.47±0.12
Baselines,DER++,66.69±0.21,67.33±0.28,65.29±0.57,75.90±0.18,72.97±0.58,50.09±0.26,51.08±0.33,11.60±0.06
Baselines,C-LoRA,68.32±0.62,68.81±0.66,67.22±0.70,77.80±0.64,75.60±0.57,46.24±0.45,47.41±0.41,14.38±0.24
Baselines,X-DER,68.99±0.45,69.95±0.57,66.87±0.54,79.70±0.68,77.15±0.55,45.33±0.31,46.39±0.15,3.34±0.62
Baselines,C-LoRA-GNCDM,63.48±1.16,62.90±1.97,64.74±2.26,71.06±2.49,71.81±3.41,50.10±1.56,47.40±0.74,3.77±0.72
Baselines,ICD,55.09±0.00,51.34±0.00,63.39±0.00,52.62±0.00,71.31±0.00,50.38±0.00,48.89±0.00,412.16±0.00
