dataset,split,protocol,seed,train_seed,support_query_seed,support_frac,method,method_label,method_family,is_oracle,drift_space,selected_hparams,selection_source,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
a0910,random,merged_10seed,1,1,,,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.758197055523265,,0.4264129859686382,,0.7354816428457573,,0.8143147529977808,,
a0910,random,merged_10seed,1,1,,,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.6970116928170247,0.6589830517940884,0.5221941416836865,0.5415316671172967,0.6728919823601296,0.6376811594202898,0.7526864442525157,0.7154585315794384,0.091497890651226
a0910,random,merged_10seed,1,1,,,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.7182078755401915,0.6739095502888599,0.4450308381715426,0.4667970895263519,0.7012645449232241,0.6699928724162509,0.7851506524771203,0.7624219618575216,0.0246530640870332
a0910,random,merged_10seed,1,1,,,C-LoRA,C-LoRA (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7001492612590514,0.658475255840943,0.5201531563090642,0.5437012450864018,0.6799851230009032,0.6361368496079829,0.7608402160101652,0.7137650686851696,0.1316108703613281
a0910,random,merged_10seed,1,1,,,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_existing_result,0.7406082878365097,0.718846085370302,0.4312441162959801,0.445874896797176,0.728016577227565,0.7009978617248752,0.8110860980920397,0.7835769561478934,0.0907678976655006
a0910,random,merged_10seed,1,1,,,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.7588711474340857,0.7594788260005993,0.4283791684448185,0.4308184596481671,0.735003453589076,0.7260631979092421,0.8136802585128042,0.7982325662787646,0.058781087398529
a0910,random,merged_10seed,1,1,,,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=10),gncdm_baseline,False,gncdm_concept,"{""lambda"": 10.0}",fixed_from_existing_result,0.7378593500003937,0.7464507273271164,0.4505570800537203,0.4393084522286592,0.703575792997184,0.7208956996911381,0.7776227678571429,0.7898197432571454,0.0925966277718544
a0910,random,merged_10seed,1,1,,,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.6028792068283719,0.6675220103733986,0.4915865469056293,0.4728266685014651,0.543976824655991,0.65,0.5920380102224462,0.7509739286784537,4.224229335784912
a0910,random,merged_10seed,1,1,,,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.758197055523265,0.747038553808601,0.4264129859686382,0.4349772981048326,0.7354816428457573,0.7215490615348064,0.8143147529977808,0.7977741351048228,0.0
a0910,random,merged_10seed,1,1,,,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.758197055523265,0.7363748159026985,0.4264129859686382,0.439664207150314,0.7354816428457573,0.7216678545972915,0.8143147529977808,0.798416931945281,0.0
a0910,random,merged_10seed,7,7,,,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.7593929452816741,,0.4269319085058241,,0.736517719568567,,0.8166728280961183,,
a0910,random,merged_10seed,7,7,,,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.6928942207416763,0.6543147975996733,0.5275777718320181,0.5403388985671916,0.6653737846023059,0.6424328819196959,0.7455867501514846,0.7241821680564464,0.0911202132701873
a0910,random,merged_10seed,7,7,,,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.7135427831385357,0.6760609515677889,0.4463548100383293,0.4639441660091228,0.6971999362414324,0.6729033024471371,0.7814465408805031,0.7653300379255976,0.024282693862915
a0910,random,merged_10seed,7,7,,,C-LoRA,C-LoRA (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.6990658106128531,0.6564813672159401,0.5251263025058938,0.5433960853323873,0.6726794538016045,0.6421952957947256,0.7531702626359758,0.7208008898776418,0.130724087357521
a0910,random,merged_10seed,7,7,,,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_existing_result,0.7411805070455009,0.7322727420262729,0.4333674547460226,0.442278155061761,0.725200573827108,0.7068781183178903,0.807939396189981,0.7868526756791776,0.0790596082806587
