Model,junyi_ACC_overall,junyi_Balanced_ACC,a0910_ACC_overall,a0910_Balanced_ACC,math1_ACC_overall,math1_Balanced_ACC
G-NCDM,78.40±0.15,,73.51±0.15,,72.14±0.51,
CLEAN-Full,77.19±0.11,77.24±0.11,73.11±0.15,73.12±0.15,72.18±1.62,72.17±1.38
CLEAN-LoRA,76.89±0.19,76.95±0.18,73.08±0.17,73.09±0.17,70.85±1.01,71.05±0.87
Full Replay Oracle,77.58±0.18,77.62±0.18,73.45±0.17,73.46±0.17,73.23±0.17,73.08±0.18
EWC,71.56±1.41,71.56±1.44,66.01±0.62,66.04±0.62,70.24±0.53,70.00±0.52
DER++,75.82±0.22,75.85±0.22,68.93±0.28,68.94±0.28,73.06±0.33,72.86±0.36
C-LoRA,71.84±1.34,71.82±1.37,66.61±0.23,66.64±0.23,69.97±0.46,69.81±0.46
X-DER,76.21±0.23,76.27±0.24,71.92±0.10,71.95±0.10,73.45±0.16,73.32±0.16
ICD,69.02±0.40,69.06±0.32,57.67±0.00,57.58±0.00,69.49±0.00,69.36±0.00
C-LoRA-GNCDM,69.66±5.01,69.55±5.11,70.45±1.73,70.44±1.72,65.76±1.02,65.32±1.09
