dataset,method,n_seeds,n_old_test,n_new_test,w_old,w_new,ACC_overall_mean,ACC_overall_std,ACC_overall_pct,Balanced_ACC_mean,Balanced_ACC_std,Balanced_ACC_pct
a0910,G-NCDM,10,37642,16836,0.691,0.309,0.7351150310823017,0.0015423987527068866,73.51±0.15,,,
a0910,Full Replay Oracle,10,37642,16836,0.691,0.309,0.7345295348581079,0.0017359380356593537,73.45±0.17,0.7345898053019513,0.0017175148740558323,73.46±0.17
a0910,CLEAN-Full,10,37642,16836,0.691,0.309,0.7311079701898013,0.0014730658214209076,73.11±0.15,0.731225211707718,0.0014726651853613976,73.12±0.15
a0910,CLEAN-LoRA,10,37642,16836,0.691,0.309,0.7308050956349352,0.0016837329706873587,73.08±0.17,0.7309311988780672,0.0016773711334938277,73.09±0.17
a0910,X-DER,10,37642,16836,0.691,0.309,0.7192499724659495,0.0009905854140532986,71.92±0.10,0.7195243498574538,0.001005644076171843,71.95±0.10
a0910,C-LoRA-GNCDM,10,37642,16836,0.691,0.309,0.7044586805683029,0.01732023874377189,70.45±1.73,0.7043591613536735,0.01720265770778768,70.44±1.72
a0910,DER++,10,37642,16836,0.691,0.309,0.689278240757737,0.002786817649441784,68.93±0.28,0.6894444162836109,0.0028156816922973865,68.94±0.28
a0910,C-LoRA,10,37642,16836,0.691,0.309,0.666050515804545,0.0023061726306109406,66.61±0.23,0.6663543788551808,0.0023041448758290774,66.64±0.23
a0910,EWC,10,37642,16836,0.691,0.309,0.6601288593560704,0.006158790465869181,66.01±0.62,0.660380179962306,0.006171299975871627,66.04±0.62
a0910,ICD,10,37642,16836,0.691,0.309,0.5767424581243954,1.1702778228589004e-16,57.67±0.00,0.5757837772591936,1.1702778228589004e-16,57.58±0.00
junyi,G-NCDM,10,13997,6398,0.6863,0.3137,0.784039437022219,0.001530374696164906,78.40±0.15,,,
junyi,Full Replay Oracle,10,13997,6398,0.6863,0.3137,0.7758176023535179,0.0018046184295332371,77.58±0.18,0.7762385745902813,0.0018281868911622003,77.62±0.18
junyi,CLEAN-Full,10,13997,6398,0.6863,0.3137,0.7718901691591076,0.0011202531246069574,77.19±0.11,0.7724209163250563,0.0011146231725081889,77.24±0.11
junyi,CLEAN-LoRA,10,13997,6398,0.6863,0.3137,0.7688600147094876,0.0018578105221774201,76.89±0.19,0.7695231357686325,0.0017862228515782548,76.95±0.18
junyi,X-DER,10,13997,6398,0.6863,0.3137,0.7620887472419711,0.0023314868704863456,76.21±0.23,0.7626921855469273,0.002359471893942084,76.27±0.24
junyi,DER++,10,13997,6398,0.6863,0.3137,0.7582250551605786,0.00215801051490691,75.82±0.22,0.7585359876942326,0.0021775357953353032,75.85±0.22
junyi,C-LoRA,10,13997,6398,0.6863,0.3137,0.7184113753370923,0.013422013776068878,71.84±1.34,0.7181566840016158,0.013710255725138254,71.82±1.37
junyi,EWC,10,13997,6398,0.6863,0.3137,0.7155577347389067,0.014120688161697818,71.56±1.41,0.7155522366323172,0.014386380192368424,71.56±1.44
junyi,C-LoRA-GNCDM,10,13997,6398,0.6863,0.3137,0.6966021083598921,0.05008980875386159,69.66±5.01,0.6955146058739912,0.05109241129459661,69.55±5.11
junyi,ICD,10,13997,6398,0.6863,0.3137,0.6901595824688187,0.004021247290963545,69.02±0.40,0.6905950835764193,0.0032030608307391647,69.06±0.32
math1,X-DER,10,10901,5935,0.6475,0.3525,0.7345331432644333,0.0015630306259656074,73.45±0.16,0.733179514767471,0.0015578458717338992,73.32±0.16
math1,Full Replay Oracle,10,10901,5935,0.6475,0.3525,0.7322998336897124,0.0016757823686939877,73.23±0.17,0.730763690708913,0.0017968319266667317,73.08±0.18
math1,DER++,10,10901,5935,0.6475,0.3525,0.7306129722024234,0.00333717131864818,73.06±0.33,0.7286174708471826,0.0036015655489347724,72.86±0.36
math1,CLEAN-Full,10,10901,5935,0.6475,0.3525,0.7217510097410311,0.016219814099366053,72.18±1.62,0.7216935036141695,0.01382739951327001,72.17±1.38
math1,G-NCDM,10,10901,5935,0.6475,0.3525,0.7213650123841848,0.005134995175241174,72.14±0.51,,,
math1,CLEAN-LoRA,10,10901,5935,0.6475,0.3525,0.7085471608458066,0.010146224578970573,70.85±1.01,0.7104567723589041,0.00869139076439076,71.05±0.87
math1,EWC,10,10901,5935,0.6475,0.3525,0.7024055595153242,0.005330564300796673,70.24±0.53,0.6999507070102547,0.005194838604227702,70.00±0.52
math1,C-LoRA,10,10901,5935,0.6475,0.3525,0.6997208363031598,0.004570081805079227,69.97±0.46,0.6980937230355423,0.004556686807296286,69.81±0.46
math1,ICD,10,10901,5935,0.6475,0.3525,0.6949394155381325,0.0,69.49±0.00,0.6936337738891812,0.0,69.36±0.00
math1,C-LoRA-GNCDM,10,10901,5935,0.6475,0.3525,0.6576205749584224,0.010219312777056759,65.76±1.02,0.653169033826457,0.010882998843182418,65.32±1.09
