dataset,seed,method,method_key,ACC_old,ACC_new,ACC_overall,Balanced_ACC
junyi,1,G-NCDM,G-NCDM(Anchor),0.7858112452668429,,0.7858112452668429,
junyi,1,EWC,EWC,0.7325141101664643,0.7164738980931541,0.727482226035793,0.7277020465444711
junyi,1,DER++,DER++,0.7656640708723298,0.7402313222882151,0.7576857072811963,0.7580342462970954
junyi,1,C-LoRA,C-LoRA,0.7281560334357362,0.7258518286964677,0.7274331944103947,0.7274647720139557
junyi,1,X-DER,X-DER,0.7673787240122883,0.7403876211316036,0.758911497916156,0.759281393148083
junyi,1,Full Replay Oracle,Full-Replay,0.7860970207901693,0.7514848390121913,0.7752390291738172,0.7757133662567759
junyi,1,C-LoRA-GNCDM,C-LoRA-GNCDM,0.73765806958634,0.7496092528915286,0.7414072076489335,0.7412434245778965
junyi,1,ICD,ICD,0.7140815889119096,0.6256642700844014,0.6863446923265506,0.6875563932636571
junyi,1,CLEAN-Full,CLEAN-Full,0.7858112452668429,0.7394498280712722,0.7712674675165482,0.7719028201081716
junyi,1,CLEAN-LoRA,CLEAN-LoRA,0.7858112452668429,0.7202250703344796,0.7652365775925472,0.7661353927871338
junyi,7,G-NCDM,G-NCDM(Anchor),0.783239265556905,,0.783239265556905,
junyi,7,EWC,EWC,0.7182253340001429,0.712253829321663,0.7163520470703604,0.7164338825965989
junyi,7,DER++,DER++,0.7651639637065085,0.7410128165051578,0.7575876440303996,0.7579186195461033
junyi,7,C-LoRA,C-LoRA,0.6769307708794742,0.728196311347296,0.6930129933807305,0.6923104330198206
junyi,7,X-DER,X-DER,0.7694505965564049,0.7377305407939981,0.7594998774209365,0.7599345798276829
junyi,7,Full Replay Oracle,Full-Replay,0.7815960562977781,0.7550797124101282,0.7732777641578819,0.7736411531314831
junyi,7,C-LoRA-GNCDM,C-LoRA-GNCDM,0.7445881260270057,0.7517974366989685,0.7468497180681539,0.7467509192285945
junyi,7,ICD,ICD,0.7140815889119096,0.6256642700844014,0.6863446923265506,0.6875563932636571
junyi,7,CLEAN-Full,CLEAN-Full,0.783239265556905,0.7453891841200375,0.7713655307673449,0.7718842411258448
junyi,7,CLEAN-LoRA,CLEAN-LoRA,0.783239265556905,0.7338230697092841,0.7677371904878647,0.7684144068026187
junyi,21,G-NCDM,G-NCDM(Anchor),0.7820247195827678,,0.7820247195827678,
junyi,21,EWC,EWC,0.7271558191040938,0.7163175992497656,0.7237558225055161,0.7239043531477953
junyi,21,DER++,DER++,0.7665928413231407,0.7399187246014379,0.7582250551605786,0.7585906063066298
junyi,21,C-LoRA,C-LoRA,0.7224405229692077,0.7313222882150672,0.7252267712674675,0.7251050525429655
junyi,21,X-DER,X-DER,0.7757376580695864,0.7396061269146609,0.7644030399607747,0.7648981987231087
junyi,21,Full Replay Oracle,Full-Replay,0.7867400157176537,0.7557049077836824,0.7770041676881588,0.7774294833374623
junyi,21,C-LoRA-GNCDM,C-LoRA-GNCDM,0.6940058583982281,0.7511722413254142,0.711939200784506,0.7111557732763839
junyi,21,ICD,ICD,0.7140815889119096,0.6256642700844014,0.6863446923265506,0.6875563932636571
junyi,21,CLEAN-Full,CLEAN-Full,0.7820247195827678,0.7439824945295405,0.770090708506987,0.7706120520667995
junyi,21,CLEAN-LoRA,CLEAN-LoRA,0.7820247195827678,0.7361675523601126,0.767639127237068,0.7682675694159712
junyi,42,G-NCDM,G-NCDM(Anchor),0.7849539186968636,,0.7849539186968636,
junyi,42,EWC,EWC,0.7260127170107881,0.7211628633948108,0.7244912968864918,0.7245577609259949
junyi,42,DER++,DER++,0.7669500607272987,0.7417943107221007,0.7590585927923511,0.7594033357257393
junyi,42,C-LoRA,C-LoRA,0.7355861970422234,0.7296030009377931,0.7337092424613876,0.7337912382108942
junyi,42,X-DER,X-DER,0.7787383010645138,0.7213191622381995,0.760725668055896,0.7615125594166194
junyi,42,Full Replay Oracle,Full-Replay,0.7858826891476745,0.7536730228196311,0.7757783770531993,0.7762197892492615
junyi,42,C-LoRA-GNCDM,C-LoRA-GNCDM,0.6675001786097021,0.7514848390121913,0.693846531012503,0.6926955767304488
junyi,42,ICD,ICD,0.7140815889119096,0.6256642700844014,0.6863446923265506,0.6875563932636571
junyi,42,CLEAN-Full,CLEAN-Full,0.7849539186968636,0.7428884026258206,0.771757783770532,0.7723342638755506
junyi,42,CLEAN-LoRA,CLEAN-LoRA,0.7849539186968636,0.7403876211316036,0.7709732777641579,0.7715840294272855
junyi,84,G-NCDM,G-NCDM(Anchor),0.7848110309352004,,0.7848110309352004,
junyi,84,EWC,EWC,0.6700007144388083,0.7138168177555486,0.6837460161804364,0.6831455454338303
junyi,84,DER++,DER++,0.7691648210330785,0.7453891841200375,0.7617063005638637,0.7620321299591661
junyi,84,C-LoRA,C-LoRA,0.7019361291705365,0.7344482650828383,0.7121353272860995,0.7116897699442271
junyi,84,X-DER,X-DER,0.7775951989712081,0.7263207252266333,0.7615101740622702,0.7622128568478356
junyi,84,Full Replay Oracle,Full-Replay,0.7843823676502107,0.7530478274460769,0.7745525864182398,0.7749820055889706
junyi,84,C-LoRA-GNCDM,C-LoRA-GNCDM,0.740730156462099,0.7499218505783057,0.7436136307918607,0.743487664696961
junyi,84,ICD,ICD,0.7140815889119096,0.6256642700844014,0.6863446923265506,0.6875563932636571
junyi,84,CLEAN-Full,CLEAN-Full,0.7848110309352004,0.7503907471084714,0.7740132385388576,0.7744849457871817
junyi,84,CLEAN-LoRA,CLEAN-LoRA,0.7848110309352004,0.7371053454204439,0.7698455503799951,0.7704993252807735
junyi,2,G-NCDM,G-NCDM(Anchor),0.7850253625776952,,0.7850253625776952,
junyi,2,EWC,EWC,0.723655068943345,0.7195998749609253,0.7223829369943614,0.722438510748619
junyi,2,DER++,DER++,0.7678788311781096,0.7475773679274773,0.7615101740622702,0.7617883922029199
junyi,2,C-LoRA,C-LoRA,0.7185825534043009,0.728196311347296,0.7215984309879873,0.7214666807871993
junyi,2,X-DER,X-DER,0.7763092091162392,0.7227258518286964,0.7594998774209365,0.7602342019299764
junyi,2,Full Replay Oracle,Full-Replay,0.7875973422876331,0.7567989996874023,0.7779357685707281,0.7783578395075638
junyi,2,C-LoRA-GNCDM,C-LoRA-GNCDM,0.7010073587197256,0.7524226320725227,0.7171365530767345,0.7164319407255647
junyi,2,ICD,ICD,0.686175580221998,0.7110362257792755,0.6939744726110866,0.6936337738891812
junyi,2,CLEAN-Full,CLEAN-Full,0.7850253625776952,0.745545482963426,0.7726403530277028,0.7731813986934144
junyi,2,CLEAN-LoRA,CLEAN-LoRA,0.7850253625776952,0.7322600812753985,0.7684726648688404,0.7691957781870061
junyi,3,G-NCDM,G-NCDM(Anchor),0.7847395870543687,,0.7847395870543687,
junyi,3,EWC,EWC,0.7143673644352361,0.7174116911534855,0.7153223829369943,0.7152806624507109
junyi,3,DER++,DER++,0.7645209687790241,0.7405439199749921,0.756999264525619,0.7573278541378146
junyi,3,C-LoRA,C-LoRA,0.7121526041294564,0.7331978743357299,0.7187545967148811,0.7184661851913384
junyi,3,X-DER,X-DER,0.7777380867328714,0.730697092841513,0.7629811228242216,0.7636257885654638
junyi,3,Full Replay Oracle,Full-Replay,0.7863113524326641,0.7589871834948422,0.7777396420691346,0.7781141017513175
junyi,3,C-LoRA-GNCDM,C-LoRA-GNCDM,0.6387082946345646,0.7485151609878087,0.6731551850943859,0.6716503545405378
junyi,3,ICD,ICD,0.686175580221998,0.7110362257792755,0.6939744726110866,0.6936337738891812
junyi,3,CLEAN-Full,CLEAN-Full,0.7847395870543687,0.7453891841200375,0.772395194900711,0.7729344661740692
junyi,3,CLEAN-LoRA,CLEAN-LoRA,0.7847395870543687,0.7378868396373867,0.7700416768815886,0.770683762829274
junyi,5,G-NCDM,G-NCDM(Anchor),0.7810245052511252,,0.7810245052511252,
junyi,5,EWC,EWC,0.7119382724869615,0.7202250703344796,0.7145378769306202,0.7144243118412169
junyi,5,DER++,DER++,0.760162892048296,0.7430447014692091,0.7547928413826919,0.7550274348745699
junyi,5,C-LoRA,C-LoRA,0.6955776237765235,0.73210378243201,0.7070360382446678,0.7065354713731695
junyi,5,X-DER,X-DER,0.7769522040437237,0.7356986558299469,0.7640107869575876,0.7645761395795906
