dataset,target,metric,baseline,delta,wins,losses,p_raw,p_holm,flag
junyi,CLEAN-Full,ACC_old,EWC,0.06860755876259197,10,0,0.001953125,0.01171875,*
junyi,CLEAN-Full,ACC_old,DER++,0.018696863613631508,10,0,0.001953125,0.01171875,*
junyi,CLEAN-Full,ACC_old,C-LoRA,0.0714581696077731,10,0,0.001953125,0.01171875,*
junyi,CLEAN-Full,ACC_old,X-DER,0.008137458026720001,10,0,0.001953125,0.01171875,*
junyi,CLEAN-Full,ACC_old,C-LoRA-GNCDM,0.11233121383153535,10,0,0.001953125,0.01171875,*
junyi,CLEAN-Full,ACC_old,ICD,0.08391085245526522,10,0,0.001953125,0.01171875,*
junyi,CLEAN-Full,ACC_new,EWC,0.029477961863082203,10,0,0.001953125,0.01171875,*
junyi,CLEAN-Full,ACC_new,DER++,0.002657080337605511,8,2,0.015625,0.015625,*
junyi,CLEAN-Full,ACC_new,C-LoRA,0.014145045326664584,10,0,0.001953125,0.01171875,*
junyi,CLEAN-Full,ACC_new,X-DER,0.013441700531416068,9,1,0.00390625,0.01171875,*
junyi,CLEAN-Full,ACC_new,C-LoRA-GNCDM,-0.00575179743669898,1,9,0.00390625,0.01171875,dagger
junyi,CLEAN-Full,ACC_new,ICD,0.07696078676650478,10,0,0.001953125,0.01171875,*
junyi,CLEAN-LoRA,ACC_old,EWC,0.06860755876259197,10,0,0.001953125,0.01171875,*
junyi,CLEAN-LoRA,ACC_old,DER++,0.018696863613631508,10,0,0.001953125,0.01171875,*
junyi,CLEAN-LoRA,ACC_old,C-LoRA,0.0714581696077731,10,0,0.001953125,0.01171875,*
junyi,CLEAN-LoRA,ACC_old,X-DER,0.008137458026720001,10,0,0.001953125,0.01171875,*
junyi,CLEAN-LoRA,ACC_old,C-LoRA-GNCDM,0.11233121383153535,10,0,0.001953125,0.01171875,*
junyi,CLEAN-LoRA,ACC_old,ICD,0.08391085245526522,10,0,0.001953125,0.01171875,*
junyi,CLEAN-LoRA,ACC_new,EWC,0.019818693341669268,10,0,0.001953125,0.01171875,*
junyi,CLEAN-LoRA,ACC_new,DER++,-0.007002188183807423,0,10,0.001953125,0.01171875,dagger
junyi,CLEAN-LoRA,ACC_new,C-LoRA,0.004485776805251651,8,2,0.0390625,0.078125,n.s.
junyi,CLEAN-LoRA,ACC_new,X-DER,0.003782432010003134,7,3,0.3046875,0.3046875,n.s.
junyi,CLEAN-LoRA,ACC_new,C-LoRA-GNCDM,-0.015411065958111914,0,10,0.001953125,0.01171875,dagger
junyi,CLEAN-LoRA,ACC_new,ICD,0.06730151824509184,10,0,0.001953125,0.01171875,*
a0910,CLEAN-Full,ACC_old,EWC,0.06639657829020774,10,0,0.001953125,0.01171875,*
a0910,CLEAN-Full,ACC_old,DER++,0.040157271133308546,10,0,0.001953125,0.01171875,*
a0910,CLEAN-Full,ACC_old,C-LoRA,0.05867913500876679,10,0,0.001953125,0.01171875,*
a0910,CLEAN-Full,ACC_old,X-DER,0.006487434248977186,10,0,0.001953125,0.01171875,*
a0910,CLEAN-Full,ACC_old,C-LoRA-GNCDM,0.034057701503639536,10,0,0.001953125,0.01171875,*
a0910,CLEAN-Full,ACC_old,ICD,0.1911382064263107,10,0,0.001953125,0.01171875,*
a0910,CLEAN-Full,ACC_new,EWC,0.0812247564742219,10,0,0.001953125,0.01171875,*
a0910,CLEAN-Full,ACC_new,DER++,0.045569018769303846,10,0,0.001953125,0.01171875,*
a0910,CLEAN-Full,ACC_new,C-LoRA,0.07931812782133524,10,0,0.001953125,0.01171875,*
a0910,CLEAN-Full,ACC_new,X-DER,0.0238655262532668,10,0,0.001953125,0.01171875,*
a0910,CLEAN-Full,ACC_new,C-LoRA-GNCDM,0.01008553100498929,5,5,0.40234375,0.40234375,n.s.
a0910,CLEAN-Full,ACC_new,ICD,0.07214896650035635,10,0,0.001953125,0.01171875,*
a0910,CLEAN-LoRA,ACC_old,EWC,0.06639657829020774,10,0,0.001953125,0.01171875,*
a0910,CLEAN-LoRA,ACC_old,DER++,0.040157271133308546,10,0,0.001953125,0.01171875,*
a0910,CLEAN-LoRA,ACC_old,C-LoRA,0.05867913500876679,10,0,0.001953125,0.01171875,*
a0910,CLEAN-LoRA,ACC_old,X-DER,0.006487434248977186,10,0,0.001953125,0.01171875,*
a0910,CLEAN-LoRA,ACC_old,C-LoRA-GNCDM,0.034057701503639536,10,0,0.001953125,0.01171875,*
a0910,CLEAN-LoRA,ACC_old,ICD,0.1911382064263107,10,0,0.001953125,0.01171875,*
a0910,CLEAN-LoRA,ACC_new,EWC,0.08024471370871943,10,0,0.001953125,0.01171875,*
a0910,CLEAN-LoRA,ACC_new,DER++,0.04458897600380137,10,0,0.001953125,0.01171875,*
a0910,CLEAN-LoRA,ACC_new,C-LoRA,0.07833808505583276,10,0,0.001953125,0.01171875,*
a0910,CLEAN-LoRA,ACC_new,X-DER,0.022885483487764324,10,0,0.001953125,0.01171875,*
a0910,CLEAN-LoRA,ACC_new,C-LoRA-GNCDM,0.009105488239486814,6,4,0.447265625,0.447265625,n.s.
a0910,CLEAN-LoRA,ACC_new,ICD,0.07116892373485387,10,0,0.001953125,0.01171875,*
math1,CLEAN-Full,ACC_old,EWC,0.035437115860930166,10,0,0.001953125,0.01171875,*
math1,CLEAN-Full,ACC_old,DER++,0.004146408586368222,6,4,0.150390625,0.150390625,n.s.
math1,CLEAN-Full,ACC_old,C-LoRA,0.03256581964957341,10,0,0.001953125,0.01171875,*
math1,CLEAN-Full,ACC_old,X-DER,-0.00408219429410146,2,8,0.02734375,0.0546875,n.s.
math1,CLEAN-Full,ACC_old,C-LoRA-GNCDM,0.09362443812494264,10,0,0.001953125,0.01171875,*
math1,CLEAN-Full,ACC_old,ICD,0.03518943216218694,10,0,0.001953125,0.01171875,*
math1,CLEAN-Full,ACC_new,EWC,-0.010210614995787704,5,5,0.5625,1.0,n.s.
math1,CLEAN-Full,ACC_new,DER++,-0.03275484414490313,4,6,0.05078125,0.3046875,n.s.
math1,CLEAN-Full,ACC_new,C-LoRA,0.002679022746419546,7,3,0.888671875,1.0,n.s.
math1,CLEAN-Full,ACC_new,X-DER,-0.028761583824768334,4,5,0.0625,0.3125,n.s.
math1,CLEAN-Full,ACC_new,C-LoRA-GNCDM,0.009957877000842464,7,3,0.52734375,1.0,n.s.
math1,CLEAN-Full,ACC_new,ICD,0.011423757371524856,7,3,0.4609375,1.0,n.s.
math1,CLEAN-LoRA,ACC_old,EWC,0.035437115860930166,10,0,0.001953125,0.01171875,*
math1,CLEAN-LoRA,ACC_old,DER++,0.004146408586368222,6,4,0.150390625,0.150390625,n.s.
math1,CLEAN-LoRA,ACC_old,C-LoRA,0.03256581964957341,10,0,0.001953125,0.01171875,*
math1,CLEAN-LoRA,ACC_old,X-DER,-0.00408219429410146,2,8,0.02734375,0.0546875,n.s.
math1,CLEAN-LoRA,ACC_old,C-LoRA-GNCDM,0.09362443812494264,10,0,0.001953125,0.01171875,*
math1,CLEAN-LoRA,ACC_old,ICD,0.03518943216218694,10,0,0.001953125,0.01171875,*
math1,CLEAN-LoRA,ACC_new,EWC,-0.0476663858466723,0,10,0.001953125,0.01171875,dagger
math1,CLEAN-LoRA,ACC_new,DER++,-0.07021061499578772,0,10,0.001953125,0.01171875,dagger
math1,CLEAN-LoRA,ACC_new,C-LoRA,-0.03477674810446505,2,8,0.0078125,0.0234375,dagger
math1,CLEAN-LoRA,ACC_new,X-DER,-0.06621735467565293,0,10,0.001953125,0.01171875,dagger
math1,CLEAN-LoRA,ACC_new,C-LoRA-GNCDM,-0.027497893850042133,2,8,0.013671875,0.02734375,dagger
math1,CLEAN-LoRA,ACC_new,ICD,-0.02603201347935974,2,8,0.013671875,0.02734375,dagger
