Paradigm,Model,Dataset,Metric,mean,std,n
Anchor,G-NCDM,Junyi,ACC_last,78.4039,0.153,10.0
Anchor,G-NCDM,Junyi,ACC_new,,,
Anchor,G-NCDM,Junyi,F1_last,85.5319,0.1381,10.0
Anchor,G-NCDM,Junyi,F1_new,,,
Anchor,G-NCDM,Junyi,RMSE_last,38.7163,0.049,10.0
Anchor,G-NCDM,Junyi,RMSE_new,,,
Anchor,G-NCDM,Junyi,BD,,,
Anchor,G-NCDM,a0910,ACC_last,73.5115,0.1542,10.0
Anchor,G-NCDM,a0910,ACC_new,,,
Anchor,G-NCDM,a0910,F1_last,81.3499,0.2625,10.0
Anchor,G-NCDM,a0910,F1_new,,,
Anchor,G-NCDM,a0910,RMSE_last,42.6827,0.1229,10.0
Anchor,G-NCDM,a0910,RMSE_new,,,
Anchor,G-NCDM,a0910,BD,,,
Anchor,G-NCDM,Math1,ACC_last,72.1365,0.5135,10.0
Anchor,G-NCDM,Math1,ACC_new,,,
Anchor,G-NCDM,Math1,F1_last,71.7216,1.6514,10.0
Anchor,G-NCDM,Math1,F1_new,,,
Anchor,G-NCDM,Math1,RMSE_last,42.4289,0.4231,10.0
Anchor,G-NCDM,Math1,RMSE_new,,,
Anchor,G-NCDM,Math1,BD,,,
Ours,CLEAN-Full,Junyi,ACC_last,78.4039,0.153,10.0
Ours,CLEAN-Full,Junyi,ACC_new,74.5311,0.2984,10.0
Ours,CLEAN-Full,Junyi,F1_last,85.5319,0.1381,10.0
Ours,CLEAN-Full,Junyi,F1_new,81.1002,0.1271,10.0
Ours,CLEAN-Full,Junyi,RMSE_last,38.7163,0.049,10.0
Ours,CLEAN-Full,Junyi,RMSE_new,41.8264,0.1121,10.0
Ours,CLEAN-Full,Junyi,BD,0.0,0.0,10.0
Ours,CLEAN-Full,a0910,ACC_last,73.5115,0.1542,10.0
Ours,CLEAN-Full,a0910,ACC_new,72.2149,0.1887,10.0
Ours,CLEAN-Full,a0910,F1_last,81.3499,0.2625,10.0
Ours,CLEAN-Full,a0910,F1_new,79.6122,0.2006,10.0
Ours,CLEAN-Full,a0910,RMSE_last,42.6827,0.1229,10.0
Ours,CLEAN-Full,a0910,RMSE_new,43.446,0.1118,10.0
Ours,CLEAN-Full,a0910,BD,0.0,0.0,10.0
Ours,CLEAN-Full,Math1,ACC_last,72.1365,0.5135,10.0
Ours,CLEAN-Full,Math1,ACC_new,72.246,4.6934,10.0
Ours,CLEAN-Full,Math1,F1_last,71.7216,1.6514,10.0
Ours,CLEAN-Full,Math1,F1_new,57.5264,2.7467,10.0
Ours,CLEAN-Full,Math1,RMSE_last,42.4289,0.4231,10.0
Ours,CLEAN-Full,Math1,RMSE_new,45.6447,2.393,10.0
