dataset,split,protocol,method,metric,n,mean,sd,profile
math1,random,f4877a6c81b57ed6,C-LoRA,Balanced_ACC,5,0.6991376251624194,0.004888203554654241,math1_random
math1,random,f4877a6c81b57ed6,C-LoRA-GNCDM,Balanced_ACC,5,0.6509366212122629,0.013431711069863295,math1_random
math1,random,f4877a6c81b57ed6,CLEAN-Full,Balanced_ACC,5,0.7270895540140037,0.006922885630067545,math1_random
math1,random,f4877a6c81b57ed6,DER++,Balanced_ACC,5,0.7275834898245964,0.004711233570622284,math1_random
math1,random,f4877a6c81b57ed6,EWC,Balanced_ACC,5,0.7003478425381161,0.005735732617652161,math1_random
math1,random,f4877a6c81b57ed6,G-NCDM(Anchor),Balanced_ACC,0,,,math1_random
math1,random,f4877a6c81b57ed6,ICD,Balanced_ACC,5,0.6936337738891812,0.0,math1_random
math1,random,f4877a6c81b57ed6,X-DER,Balanced_ACC,5,0.7335196621009781,0.0017614415948823423,math1_random
junyi,random,3b3caf91efab385f,C-LoRA,Balanced_ACC,5,0.7180722531463726,0.016501315383536566,junyi_random
junyi,random,3b3caf91efab385f,C-LoRA-GNCDM,Balanced_ACC,5,0.727066671702057,0.02394069648102737,junyi_random
junyi,random,3b3caf91efab385f,CLEAN-Full,Balanced_ACC,5,0.7722436645927095,0.001408817700114679,junyi_random
junyi,random,3b3caf91efab385f,DER++,Balanced_ACC,5,0.7591957875669467,0.0016907465094589842,junyi_random
junyi,random,3b3caf91efab385f,EWC,Balanced_ACC,5,0.7151487177297382,0.0183618626200499,junyi_random
junyi,random,3b3caf91efab385f,G-NCDM(Anchor),Balanced_ACC,0,,,junyi_random
junyi,random,3b3caf91efab385f,ICD,Balanced_ACC,5,0.6875563932636571,0.0,junyi_random
junyi,random,3b3caf91efab385f,X-DER,Balanced_ACC,5,0.761567917592666,0.0022025990254976365,junyi_random
a0910,random,ec6331b45abd69ac,C-LoRA,Balanced_ACC,5,0.6654385209830104,0.002181480630361934,a0910_random
a0910,random,ec6331b45abd69ac,C-LoRA-GNCDM,Balanced_ACC,5,0.6968138992465422,0.022082664553039717,a0910_random
a0910,random,ec6331b45abd69ac,CLEAN-Full,Balanced_ACC,5,0.7311524414104549,0.001648389423632233,a0910_random
a0910,random,ec6331b45abd69ac,DER++,Balanced_ACC,5,0.6904452772477081,0.0014472605264409868,a0910_random
a0910,random,ec6331b45abd69ac,EWC,Balanced_ACC,5,0.6621431952441773,0.003983275976044405,a0910_random
a0910,random,ec6331b45abd69ac,G-NCDM(Anchor),Balanced_ACC,0,,,a0910_random
a0910,random,ec6331b45abd69ac,ICD,Balanced_ACC,5,0.5757837772591936,0.0,a0910_random
a0910,random,ec6331b45abd69ac,X-DER,Balanced_ACC,5,0.7193593521257002,0.0005513172160978196,a0910_random
