dataset,split,protocol,method,metric,n,mean,sd
junyi,random,3b3caf91efab385f,C-LoRA,Balanced_AUC,5,0.7545640297684837,0.016004046424245515
junyi,random,3b3caf91efab385f,C-LoRA-GNCDM,Balanced_AUC,5,0.8007117762676452,0.005346299058778638
junyi,random,3b3caf91efab385f,CLEAN-Full,Balanced_AUC,5,0.8075249809888838,0.0009167578604257988
junyi,random,3b3caf91efab385f,CLEAN-LoRA,Balanced_AUC,5,0.7985992118501846,0.007549886676508397
junyi,random,3b3caf91efab385f,DER++,Balanced_AUC,5,0.7997636417667479,0.002186127214356424
junyi,random,3b3caf91efab385f,EWC,Balanced_AUC,5,0.7574339991949552,0.006272042937356621
junyi,random,3b3caf91efab385f,Full-Replay,Balanced_AUC,5,0.8163028960117789,0.001562248496983968
junyi,random,3b3caf91efab385f,G-NCDM(Anchor),Balanced_AUC,0,,
junyi,random,3b3caf91efab385f,ICD,Balanced_AUC,5,0.7519342735139836,0.0
junyi,random,3b3caf91efab385f,X-DER,Balanced_AUC,5,0.7947180961686373,0.003641793481252329
