dataset,split,protocol,seed,train_seed,support_query_seed,support_frac,method,method_label,method_family,is_oracle,drift_space,selected_hparams,selection_source,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
junyi,random,3b3caf91efab385f,7,7,,,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.8193351743772803,,0.3869048409339021,,0.783239265556905,,0.853980171335066,,
junyi,random,3b3caf91efab385f,7,7,,,EWC,EWC (lambda=1000),continual_learning_baseline,False,embedding,"{""lambda"": 1000}",fixed_from_existing_result,0.7500248464558015,0.7625368134650579,0.44635187292995093,0.4405721076487494,0.7182253340001429,0.712253829321663,0.7945191205585078,0.7788057190916736,0.08974146097898483
junyi,random,3b3caf91efab385f,7,7,,,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.7999602850899832,0.798831148037719,0.4003948403317696,0.4159321269357033,0.7651639637065085,0.7410128165051578,0.8358715733759424,0.802808520766393,0.022761227563023567
junyi,random,3b3caf91efab385f,7,7,,,C-LoRA,C-LoRA (lambda=10.0),continual_learning_baseline,False,embedding,"{""lambda"": 10.0}",fixed_from_existing_result,0.6752236981725968,0.7792462020916462,0.46443911461639853,0.43041213927498906,0.6769307708794742,0.728196311347296,0.767243154210418,0.7924573338107173,0.19781634211540222
junyi,random,3b3caf91efab385f,7,7,,,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_existing_result,0.7954864448232526,0.7886963170106762,0.4008821564729569,0.42404941954360525,0.7694505965564049,0.7377305407939981,0.8499837292547999,0.8026810912511759,0.06067875027656555
junyi,random,3b3caf91efab385f,7,7,,,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.8173191499531034,0.8150072727291693,0.38868364393834975,0.4082733883814843,0.7815960562977781,0.7550797124101282,0.8530641672674838,0.8131632288064863,0.04581543803215027
junyi,random,3b3caf91efab385f,7,7,,,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=0.1),gncdm_baseline,False,gncdm_concept,"{""lambda"": 0.1}",fixed_from_existing_result,0.7966667069071669,0.8106322658840943,0.43126298844667904,0.41057127082816336,0.7445881260270057,0.7517974366989685,0.8127193671748127,0.8105011933174224,0.14959995448589325
junyi,random,3b3caf91efab385f,7,7,,,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.7624880479555075,0.7413804990724597,0.4371848991448296,0.480189586659818,0.7140815889119096,0.6256642700844014,0.7859664135201626,0.7697336794538987,1.4228298664093018
junyi,random,3b3caf91efab385f,7,7,,,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.8193351743772803,0.7969194294258429,0.3869048409339021,0.4196515618461637,0.783239265556905,0.7453891841200375,0.853980171335066,0.8114801527600972,0.0
junyi,random,3b3caf91efab385f,7,7,,,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.8193351743772803,0.780292755381272,0.3869048409339021,0.4255357219468899,0.783239265556905,0.7338230697092841,0.853980171335066,0.8053936692949377,0.0
