dataset,split,protocol,method,metric,n,mean,sd
math1,random,f4877a6c81b57ed6,C-LoRA,Balanced_AUC,5,0.7810602339622132,0.002445151793347236
math1,random,f4877a6c81b57ed6,C-LoRA-GNCDM,Balanced_AUC,5,0.695124788060631,0.023071657110672963
math1,random,f4877a6c81b57ed6,CLEAN-Full,Balanced_AUC,5,0.7504250751325461,0.01800552207236564
math1,random,f4877a6c81b57ed6,CLEAN-LoRA,Balanced_AUC,5,0.7286777948553578,0.019666250867429028
math1,random,f4877a6c81b57ed6,DER++,Balanced_AUC,5,0.8190892419493849,0.0021361136732165214
math1,random,f4877a6c81b57ed6,EWC,Balanced_AUC,5,0.7898636330770261,0.004839555161156814
math1,random,f4877a6c81b57ed6,Full-Replay,Balanced_AUC,5,0.8222502053334191,0.0019559212230189573
math1,random,f4877a6c81b57ed6,G-NCDM(Anchor),Balanced_AUC,0,,
math1,random,f4877a6c81b57ed6,ICD,Balanced_AUC,5,0.7558458877891645,0.0
math1,random,f4877a6c81b57ed6,X-DER,Balanced_AUC,5,0.8263763797641982,0.002169698805163012
