user_id,item_id,score
894,592,1
814,29,1
151,35,0
967,401,1
707,175,0
739,565,1
5,38,0
733,134,0
520,77,1
260,367,1
601,122,0
71,44,1
626,372,1
361,128,1
82,93,0
382,8,0
982,556,0
39,8,1
27,87,0
941,73,1
338,176,0
2,154,1
642,66,1
290,240,1
61,165,0
579,130,0
48,152,1
467,130,1
109,132,1
525,35,1
36,45,1
761,371,1
156,220,1
88,104,1
432,378,1
723,185,1
341,87,1
130,105,0
752,124,1
309,244,0
460,385,1
403,375,0
882,438,1
919,613,0
409,111,0
863,178,1
427,90,1
410,615,1
174,243,1
698,690,1
346,59,1
820,598,0
479,92,1
651,481,1
986,91,1
159,27,1
38,682,1
391,6,1
729,402,1
259,6,1
946,60,0
24,140,1
502,132,0
989,306,1
918,6,1
927,98,1
11,284,1
234,61,0
201,193,0
933,71,1
729,372,0
701,169,1
712,170,0
48,336,0
223,44,1
747,225,1
550,365,1
109,89,1
651,192,1
372,411,1
161,29,1
297,1,1
855,583,1
166,73,1
981,53,1
129,262,0
257,65,1
68,111,0
541,180,1
285,90,1
384,91,1
956,595,1
924,145,0
280,399,0
323,72,1
336,296,1
6,68,1
294,25,1
283,43,0
101,15,1
319,197,0
852,58,0
417,31,1
358,314,1
16,88,1
495,26,1
188,194,0
378,139,1
952,104,1
806,466,0
944,589,1
490,55,1
576,365,1
623,592,1
90,91,1
956,223,1
341,171,0
587,395,1
744,51,1
960,203,0
213,87,0
369,31,1
485,288,1
52,631,1
268,178,1
628,49,1
704,208,1
400,696,0
829,590,0
766,566,1
497,66,1
64,251,1
855,94,1
855,157,1
261,2,1
80,423,1
780,604,1
609,576,1
312,109,0
296,163,1
570,315,0
884,208,1
881,47,1
862,301,0
476,402,0
156,423,1
578,103,0
698,224,1
275,183,1
985,648,0
29,303,1
707,6,0
626,49,1
332,103,1
368,178,0
408,73,1
658,170,1
458,195,0
758,585,1
754,39,1
879,50,1
183,371,1
535,23,1
348,45,1
857,546,1
177,251,0
418,346,0
695,64,0
971,67,1
606,66,1
943,14,1
350,565,1
746,114,1
581,106,1
17,60,1
855,96,1
665,603,1
93,586,1
903,589,1
937,381,1
137,353,1
560,156,0
602,92,0
124,223,1
872,440,1
951,115,1
98,138,1
180,193,1
802,664,0
280,63,0
946,257,0
177,329,0
793,584,1
768,234,0
1,191,1
220,664,1
862,514,0
253,615,1
319,76,0
512,180,1
811,378,0
508,8,0
274,92,1
34,170,0
361,76,0
246,229,1
658,422,1
224,478,0
980,204,1
985,183,1
671,96,1
979,163,1
114,32,1
281,44,0
471,108,1
75,697,1
759,469,1
840,541,0
545,365,1
165,134,1
958,406,0
598,221,1
705,57,1
414,14,1
138,248,1
412,87,0
517,91,1
440,533,1
830,61,1
29,608,0
609,402,1
118,39,1
116,402,1
781,171,1
261,123,1
13,167,1
23,12,0
648,77,0
617,8,0
308,399,1
997,600,1
445,251,1
567,35,1
313,116,1
493,72,0
642,100,1
147,243,1
289,256,0
120,277,1
217,63,1
743,303,0
887,231,0
676,27,1
354,52,1
625,70,1
204,241,1
117,365,1
140,188,1
427,124,1
129,1,0
665,171,1
477,65,1
622,364,1
961,6,1
698,239,1
89,380,0
446,33,1
870,478,0
125,41,0
61,171,0
918,114,1
858,12,0
43,478,0
491,106,0
49,0,1
873,679,1
725,421,1
928,422,1
620,63,1
371,95,0
149,246,0
853,59,1
998,31,1
340,177,1
532,371,1
630,57,1
174,192,0
295,611,1
753,43,1
461,210,1
648,159,1
343,221,1
558,11,1
800,64,0
852,74,1
906,195,0
368,54,1
646,15,1
565,396,1
943,367,1
678,441,1
112,105,0
822,704,0
896,70,0
339,586,1
648,405,1
355,399,1
433,98,1
266,77,1
510,124,0
623,367,1
74,34,0
659,162,0
948,26,1
417,124,1
843,115,1
467,228,1
890,159,1
830,8,1
593,159,1
527,248,1
320,597,0
732,171,1
703,391,1
730,15,1
67,78,0
90,44,0
935,379,1
125,70,1
64,225,1
743,475,1
483,125,1
670,238,1
246,38,0
518,187,0
278,104,0
464,171,0
119,74,1
823,66,1
817,338,1
637,195,0
363,267,1
244,544,0
41,106,1
373,176,0
882,384,1
709,340,0
539,4,1
634,233,1
807,411,1
781,7,1
306,164,1
894,690,0
961,644,1
471,41,0
12,54,1
738,8,1
357,112,0
110,107,1
447,63,1
875,660,0
492,43,1
615,14,0
823,9,1
358,25,1
676,431,1
575,365,1
161,69,0
920,376,1
831,557,1
323,196,1
666,85,1
610,172,1
877,594,1
275,323,0
642,596,1
828,590,0
875,2,1
267,9,1
542,25,1
468,166,0
469,75,1
839,136,0
847,411,1
279,168,0
559,159,1
676,615,1
848,597,1
902,422,1
135,309,0
741,198,1
150,517,0
60,35,1
902,188,1
821,271,1
215,189,1
687,129,1
853,366,1
541,93,1
665,228,1
591,388,1
861,612,0
134,46,1
149,104,1
411,2,1
267,208,1
653,190,1
141,242,1
338,633,0
732,367,1
13,186,0
16,84,0
275,81,0
319,92,0
557,96,1
482,103,0
902,102,1
562,205,0
983,375,1
355,586,1
948,11,1
886,409,0
547,189,0
57,182,1
44,34,0
496,109,0
537,402,1
299,46,1
334,27,1
809,213,0
2,522,0
429,529,1
984,584,1
88,138,0
347,641,0
205,587,0
150,171,1
226,110,0
130,364,1
426,49,1
310,516,1
479,376,1
288,107,1
754,123,0
550,412,0
902,402,1
25,73,0
225,121,0
670,142,1
926,409,1
278,371,1
871,376,1
570,533,1
281,164,1
374,140,1
734,72,1
934,596,1
346,421,1
181,172,0
53,164,1
217,75,0
722,11,1
528,197,0
696,245,1
935,546,1
297,13,1
120,44,1
246,252,0
573,145,0
494,291,1
676,230,1
211,372,1
540,375,1
128,274,0
372,166,1
914,385,1
109,79,1
201,414,0
793,180,0
792,350,0
370,46,1
72,208,1
908,379,1
197,380,0
367,5,1
1,33,1
76,90,1
339,75,1
104,178,1
492,84,1
73,65,1
624,68,1
353,381,1
20,92,0
460,17,0
757,15,1
91,16,1
284,15,1
274,91,1
577,90,1
653,121,1
730,9,0
186,9,0
961,520,0
497,112,1
349,45,1
383,4,1
201,401,0
936,284,1
899,66,1
793,73,1
17,227,1
985,586,1
614,169,1
84,385,1
474,243,0
948,243,1
787,78,1
558,125,0
892,61,1
224,7,1
888,233,0
724,161,1
433,387,1
306,41,1
222,303,1
929,48,1
737,90,0
101,165,1
694,123,1
742,375,1
132,228,0
762,374,1
312,49,1
339,638,0
698,186,0
408,86,1
242,170,1
128,252,1
367,63,0
911,11,0
55,383,1
129,123,0
569,146,0
542,407,1
124,26,1
901,556,1
409,11,1
310,586,1
31,646,0
224,266,0
235,72,1
970,536,1
872,238,1
928,208,1
627,378,1
138,276,0
884,204,1
312,42,0
125,204,1
684,373,1
611,616,0
499,43,1
649,142,1
206,374,0
665,192,0
155,343,0
236,376,0
687,107,1
128,220,1
623,169,1
337,177,0
294,165,0
853,373,1
417,90,1
475,141,0
81,367,1
258,2,1
225,219,0
856,587,1
845,82,0
827,387,1
834,382,1
341,389,0
440,43,1
789,61,0
970,558,0
211,376,1
612,604,0
975,696,0
15,397,0
220,55,1
300,43,1
515,103,1
651,492,1
478,179,1
226,78,0
529,391,0
313,176,0
815,93,1
813,588,1
679,167,1
644,572,1
275,370,1
613,251,0
486,383,0
430,530,1
578,195,1
2,47,1
858,380,0
732,15,1
48,213,1
440,603,1
713,166,1
918,602,1
913,586,1
320,163,1
549,241,1
970,632,1
40,28,1
37,51,1
389,274,0
836,401,1
186,145,0
866,568,1
706,373,1
476,260,1
241,266,0
89,187,0
780,380,0
173,90,1
258,25,1
389,373,1
91,365,1
760,163,1
273,226,0
211,246,0
692,28,1
366,243,1
779,576,1
601,6,1
852,579,1
864,60,1
116,167,1
53,16,1
912,162,0
864,45,1
733,9,0
958,98,0
139,172,0
261,6,1
205,164,1
317,103,1
432,40,1
314,96,1
837,174,1
498,4,1
161,187,1
910,81,0
155,30,1
572,364,1
477,45,1
970,706,1
181,93,0
671,127,1
568,73,1
369,461,1
947,55,1
635,597,1
988,564,1
964,100,1
387,221,1
998,697,0
623,29,0
148,584,1
503,394,1
985,371,1
142,171,0
176,86,1
577,195,0
498,46,1
41,364,1
42,159,1
117,92,1
342,195,0
76,12,1
669,109,1
20,219,0
769,576,1
949,586,1
888,399,1
821,57,1
174,366,0
45,11,0
440,366,1
55,40,1
907,551,1
917,43,1
731,113,1
446,301,0
931,62,1
643,42,1
756,223,1
453,90,1
216,300,1
676,308,0
217,90,0
634,4,1
191,169,1
574,105,1
449,597,0
135,365,1
890,220,0
695,202,0
658,115,1
239,2,1
632,6,1
637,582,1
652,14,0
852,608,0
462,381,1
202,94,0
524,55,1
537,65,1
813,5,0
654,375,1
135,238,0
812,623,0
437,14,0
65,126,1
925,446,0
765,551,1
580,15,1
551,14,0
29,146,1
115,120,0
174,393,0
748,74,1
710,10,1
409,99,0
137,405,1
481,67,1
786,71,0
373,65,0
128,285,1
582,378,1
684,226,1
270,61,1
492,5,1
357,100,1
42,299,1
318,416,1
571,278,0
426,106,1
376,39,1
754,604,1
358,83,0
43,164,1
429,171,1
630,226,0
705,62,1
16,243,1
933,584,1
407,115,0
945,585,0
522,176,0
276,371,0
995,226,1
816,595,0
955,13,1
782,597,1
891,616,0
81,124,1
238,395,1
269,196,1
435,77,1
414,54,1
447,183,1
289,196,0
940,100,1
593,211,0
811,389,0
208,29,0
798,704,1
329,7,1
262,526,1
563,410,0
85,383,0
996,172,1
11,241,1
261,675,0
850,146,1
158,231,0
971,225,1
165,390,1
469,84,1
165,67,1
629,530,1
926,368,1
899,585,1
809,114,1
572,13,1
139,281,0
177,370,1
391,55,1
267,50,1
241,595,0
618,49,1
118,43,1
308,92,0
150,402,1
4,63,0
732,42,1
536,32,0
404,80,1
125,86,1
988,88,1
348,366,1
376,87,1
561,13,1
902,122,1
967,474,1
708,560,1
473,227,1
251,15,1
23,421,0
902,675,1
628,144,1
621,19,0
743,496,1
402,178,1
276,58,0
836,591,1
710,286,1
765,12,1
654,172,1
169,96,0
750,13,1
781,122,0
362,120,1
64,276,1
476,390,1
912,67,1
217,44,1
276,376,1
75,159,1
842,568,1
13,519,0
619,85,1
96,55,1
792,365,1
687,373,1
322,84,0
62,74,0
285,474,1
701,90,1
494,246,1
709,606,1
569,31,0
344,520,1
639,187,1
508,285,1
277,384,0
279,416,1
802,7,1
12,52,0
855,536,1
55,48,1
